,entity_idx,question_idx,question,model_response
0,0,4,Is the country code of Torca airport CL?,No
1,1,3,Is the longitude of the Catsa airport -85.5656?,No
2,1,4,Is the country code of Catsa airport CR?,No
3,2,4,Is the country code of Vicco airport PE?,No
4,3,3,Is the longitude of the Lilongwe International airport 33.781?,No
5,4,0,Do you know the Trieben airport?,No
6,4,1,Is the ICAO location indicator of the Trieben airport LOGI?,No
7,5,0,Do you know the Intiraymi airport?,No
8,5,4,Is the country code of Intiraymi airport BO?,No
9,6,1,Is the ICAO location indicator of the Tiger Paw Aerodrome airport 35NK?,No
10,6,4,Is the country code of Tiger Paw Aerodrome airport US?,No
11,9,3,Is the longitude of the Obenteni airport -74.2206?,No
12,9,4,Is the country code of Obenteni airport PE?,No
13,11,4,Is the country code of Moose Run Airstrip airport US?,No
14,13,2,Is the latitude of the Sydney / J.A. Douglas McCurdy airport 46.1614?,No
15,13,3,Is the longitude of the Sydney / J.A. Douglas McCurdy airport -60.0478?,No
16,13,4,Is the country code of Sydney / J.A. Douglas McCurdy airport CA?,No
17,14,0,Do you know the Tambuti airport?,No
18,14,4,Is the country code of Tambuti airport SZ?,No
19,16,3,Is the longitude of the Sir Charles Gaetan Duval airport 63.361?,No
20,18,1,Is the ICAO location indicator of the Jensen airport SD46?,No
21,18,4,Is the country code of Jensen airport US?,No
22,19,3,Is the longitude of the Santa Cruz do Sul airport -52.4122?,No
23,20,3,Is the longitude of the Tumeremo airport -61.4333?,No
24,22,1,Is the ICAO location indicator of the Andrews University Airpark airport KC20?,No
25,24,4,Is the country code of Gamboula airport CF?,No
26,26,4,Is the country code of Ngala airport ZA?,No
27,29,4,Is the country code of Andrewsfield airport GB?,No
28,30,2,Is the latitude of the Reykjanes airport 65.9142?,No
29,31,0,Do you know the Fazenda Livramento airport?,No
30,32,0,Do you know the Steciak Strip airport?,No
31,32,1,Is the ICAO location indicator of the Steciak Strip airport 1OL2?,No
32,32,4,Is the country code of Steciak Strip airport US?,No
33,33,4,Is the country code of Apruna airport VE?,No
34,36,0,Do you know the Foz do Areia airport?,No
35,36,3,Is the longitude of the Foz do Areia airport -51.6407?,No
36,38,4,Is the country code of Compton/Woodley airport US?,No
37,39,1,Is the ICAO location indicator of the Janssen airport 9MN5?,No
38,39,4,Is the country code of Janssen airport US?,No
39,41,4,Is the country code of Sd Aero airport US?,No
40,45,0,Do you know the Kadrmas airport?,No
41,45,1,Is the ICAO location indicator of the Kadrmas airport ND10?,No
42,45,3,Is the longitude of the Kadrmas airport -102.7952?,No
43,45,4,Is the country code of Kadrmas airport US?,No
44,46,1,Is the ICAO location indicator of the Taylor Ranch Landing Area airport 09ID?,No
45,47,3,Is the longitude of the Liuli airport 34.6522?,No
46,47,4,Is the country code of Liuli airport TZ?,No
47,48,2,Is the latitude of the Eagle airport 64.7781?,No
48,48,3,Is the longitude of the Eagle airport -141.1496?,No
49,49,0,Do you know the Sipuati airport?,No
50,49,4,Is the country code of Sipuati airport BO?,No
51,50,1,Is the ICAO location indicator of the Lawton airport IA84?,No
52,50,2,Is the latitude of the Lawton airport 42.4833?,No
53,53,1,Is the ICAO location indicator of the Cherokee Trail Ranch airport 2CO1?,No
54,55,0,Do you know the Mbesa airport?,No
55,55,3,Is the longitude of the Mbesa airport 37.0678?,No
56,55,4,Is the country code of Mbesa airport TZ?,No
57,56,2,Is the latitude of the Betou airport 3.05?,No
58,56,3,Is the longitude of the Betou airport 18.5?,No
59,56,4,Is the country code of Betou airport CG?,No
60,57,4,Is the country code of Tebing Tinggi airport ID?,No
61,58,0,Do you know the Laguna Del Rey airport?,No
62,58,1,Is the ICAO location indicator of the Laguna Del Rey airport MM82?,No
63,58,4,Is the country code of Laguna Del Rey airport MX?,No
64,59,0,Do you know the Kaklic airport?,No
65,59,4,Is the country code of Kaklic airport TR?,No
66,60,1,Is the ICAO location indicator of the Marlin airport KT15?,No
67,60,4,Is the country code of Marlin airport US?,No
68,61,0,Do you know the Flying 'O' airport?,No
69,61,1,Is the ICAO location indicator of the Flying 'O' airport 3WI4?,No
70,61,3,Is the longitude of the Flying 'O' airport -89.4023?,No
71,62,1,Is the ICAO location indicator of the Grand Marais airport KY98?,No
72,63,0,Do you know the Fazenda Sao Marcos airport?,No
73,63,3,Is the longitude of the Fazenda Sao Marcos airport -54.9414?,No
74,64,0,Do you know the Fazenda Paloma airport?,No
75,64,3,Is the longitude of the Fazenda Paloma airport -48.8283?,No
76,65,1,Is the ICAO location indicator of the The Bluffs airport 75AR?,No
77,65,4,Is the country code of The Bluffs airport US?,No
78,67,4,Is the country code of Spangdahlem Air Base airport DE?,No
79,69,1,Is the ICAO location indicator of the Swansea airport YSWA?,No
80,69,2,Is the latitude of the Swansea airport -42.1017?,No
81,69,3,Is the longitude of the Swansea airport 148.068?,No
82,69,4,Is the country code of Swansea airport AU?,No
83,70,3,Is the longitude of the Gonder airport 37.434?,No
84,71,1,Is the ICAO location indicator of the Underland Airstrip airport 6MN8?,No
85,71,2,Is the latitude of the Underland Airstrip airport 44.1527?,No
86,71,4,Is the country code of Underland Airstrip airport US?,No
87,72,1,Is the ICAO location indicator of the Hurlbut Field airport NY07?,No
88,75,0,Do you know the Wershofen/Eifel airport?,No
89,76,1,Is the ICAO location indicator of the Kipling airport CKD5?,No
90,76,4,Is the country code of Kipling airport CA?,No
91,78,4,Is the country code of Coral Harbour airport CA?,No
92,79,0,Do you know the Grass Roots airport?,No
93,79,1,Is the ICAO location indicator of the Grass Roots airport 9MI5?,No
94,79,2,Is the latitude of the Grass Roots airport 43.2378?,No
95,81,1,Is the ICAO location indicator of the Moga airport FZOH?,No
96,81,2,Is the latitude of the Moga airport -2.467?,No
