,common_entity,entity1,entity2,entity3,rag_text
0,day after day,badfinger,1971,pop/rock,"""Day After Day"" is a song by the British rock band Badfinger from their 1971 album Straight Up. It was written by Pete Ham and produced by George Harrison, who also plays slide guitar on the recording. The song was issued as a single and became Badfinger's biggest hit, charting at number 4 in the United States and number 10 in the UK, ultimately earning gold accreditation from the Recording Industry Association of America."
1,elegie,patti smith,1975,pop/rock,"Horses is the debut studio album by American musician Patti Smith. It was released by Arista Records on November 10, 1975. A fixture of the mid-1970s underground rock music scene in New York City, Smith signed to Arista in 1975 and recorded Horses with her band at Electric Lady Studios in August and September of that year. She enlisted former Velvet Underground member John Cale to produce the album.
The music on Horses was informed by the minimalist aesthetic of the punk rock genre, then in its formative years. Smith and her band composed the album's songs using simple chord progressions, while also breaking from punk tradition in their propensity for improvisation and embrace of ideas from avant-garde and other musical styles. Smith's lyrics on Horses were alternately rooted in her own personal experiences, particularly with her family, and in more fantastical imagery. The album also features adaptations of the rock standards ""Gloria"" and ""Land of a Thousand Dances"".
At the time of its release, Horses experienced modest commercial success and placed in the top 50 of the American Billboard 200 albums chart, while being widely acclaimed by music critics. Recognized as a seminal recording in the history of punk and later rock movements, Horses has frequently appeared in professional lists of the greatest albums of all time. In 2009, it was selected by the Library of Congress for preservation into the National Recording Registry as a ""culturally, historically, or aesthetically significant"" work."
2,jimmy james,beastie boys,1992,pop/rock,"""Jimmy James"" is the third single from American rap rock band the Beastie Boys' third album Check Your Head. The song has been described as a tribute to Jimi Hendrix by Beastie Boys member MCA, and contains samples from several Hendrix songs including ""Foxy Lady"", ""Happy Birthday"", and ""Still Raining, Still Dreaming""."
3,congratulations,reba mcentire,1984,country/folk,
4,bad boy (feat. jungle rock jr.),"royce da 5'9""",2009,hip hop/reggae,
5,when i'm gone,marty robbins,1979,country/folk,
6,in the garden,randy travis,2003,country/folk,
7,the invite,pepper,2016,country/folk,
8,toadies,minutemen,1984,pop/rock,
9,danger heartbreak dead ahead,the marvelettes,1988,blues/jazz,
10,baby don't you weep,garnet mimms & the enchanters,1963,blues/jazz,
11,fall,clay walker,2007,country/folk,
12,the sun is rising,britt nicole,2012,pop/rock,
13,that's the way love goes,janet jackson,1993,pop/rock,"""That's the Way Love Goes"" is a song by American singer-songwriter Janet Jackson from her fifth album, janet. (1993). The song was released on April 20, 1993, as the lead single from the Janet album. Written and produced by Jackson and Jimmy Jam and Terry Lewis, the song's themes of romantic lust saw Jackson transitioning to sensual territory, considered a shocking contrast to her previous releases among critics and the public. The song's slow tempo fused R&B, pop, funk and soul music with flourishes of downtempo and hip hop music. It received positive reviews from contemporary music critics, who praised it as ""iconic"", ""hypnotic"", and ""extravaganza"" for its production and vocals.
""That's the Way Love Goes"" is one of Jackson's biggest hits in the United States. It was one of the longest-reigning hits of 1993, topping the Billboard Hot 100 for eight weeks, To date, it is the longest running number-one single of any member of the Jackson family on the Hot 100. It also topped the Hot 100 Airplay for ten weeks, as well as spending multiple weeks at number one on several of Billboard's other component charts. The song became the first and only single in history to debut at number one on the Hot R&B/Hip-Hop Airplay chart. Internationally, it placed at number one in Canada, Australia, New Zealand, Hungary, South Africa, Japan and Europe's Hot 100 chart. It is the seventeenth biggest hit of the 1990s and the biggest selling single by a female artist in South Africa. It has sold over three million copies worldwide. It was certified Platinum by the RIAA.
""That's the Way Love Goes"" received the Grammy Award for Best R&B Song in addition to Billboard Awards, BMI Pop Award for Most Played Song, and American Music Awards. Its accompanying music video received several nominations at the MTV Video Music Awards, including Best Female Video, and also influenced several videos, including releases from Ciara and Prince.
""That's the Way Love Goes"" has been recorded by artists such as Bruno Mars and NSYNC, cited as an influence by Britney Spears and Nelly Furtado, and inspired or been sampled in songs by Alicia Keys, Destiny's Child and Hikaru Utada. It is considered to be one of Jackson's signature songs and is included in each of her greatest hits collections: Design of a Decade: 1986–1996 (1995), Number Ones (2009) and Icon: Number Ones (2010)."
14,sing her a love song,carl smith,1956,country/folk,
15,but not for me,red garland,1957,blues/jazz,
16,walk it off,lil wayne,2014,hip hop/reggae,
17,engineers,gary numan,1979,pop/rock,
18,morning sunrise,weldon irvine,2016,blues/jazz,
19,county sheriff,red simpson,1966,country/folk,
20,got to get a knutt,the new birth,1972,blues/jazz,
21,make her say,kid cudi,2009,pop/rock,"""Make Her Say"" is a song by American hip hop recording artist Kid Cudi, released as the second single from his debut album Man on the Moon: The End of Day (2009). The single was digitally released to iTunes on June 9, 2009. It features fellow American rappers Common and Kanye West, the latter of whom also produced the song. The song is perhaps best known for its sample of the US number-one hit single ""Poker Face"", as performed by American singer Lady Gaga. The song received a nomination for Best Rap Performance by a Duo or Group at the 52nd Annual Grammy Awards."
22,ed is dead,pixies,1987,pop/rock,
23,why did you hoodoo me,savoy brown,2017,blues/jazz,
24,earth angel,bobby vee,1961,pop/rock,
25,ragged as the road,reckless kelly,2008,country/folk,
26,true love waits,radiohead,2016,pop/rock,"""True Love Waits"" is a song by the English rock band Radiohead. Radiohead worked on it for over two decades before releasing it on their ninth album, A Moon Shaped Pool (2016). 
Radiohead first performed ""True Love Waits"" in 1995, with the singer, Thom Yorke, on acoustic guitar accompanied by synthesiser. Yorke performed it solo on guitar or Rhodes piano several times in the following years, and it became one of Radiohead's best-known unreleased songs. A performance was released on I Might Be Wrong: Live Recordings (2001).
Radiohead and their producer, Nigel Godrich, attempted to record ""True Love Waits"" several times, experimenting with different styles, but could not settle on an arrangement. Some of these versions were released on the compilations MiniDiscs [Hacked] (2019) and Kid A Mnesia (2021).
In 2016, Radiohead released ""True Love Waits"" as the closing track on A Moon Shaped Pool, rearranged as a minimal piano ballad. It received positive reviews, and Pitchfork named it among the greatest songs of the decade. Several critics felt the long wait made the studio version more powerful. Though it was not released as a single, ""True Love Waits"" entered the French SNEP and US Billboard Hot Rock Songs singles charts."
27,city club,the growlers,2016,pop/rock,
28,i've got a crush on you,steve tyrell,2003,blues/jazz,
29,night life,ray price,1963,country/folk,
30,freedom sound,the skatalites,1997,country/folk,
31,the pot,tool,2006,pop/rock,"""The Pot"" is a song by American rock band Tool and was released as a promotional single from their fourth studio album 10,000 Days (2006).
It became Tool's first number one song, topping the Billboard Mainstream Rock chart in 2007. It also received a Grammy nomination for Best Hard Rock Performance in 2008."
32,two seconds too late,welshly arms,2013,blues/jazz,
33,the style you haven't done yet,boogie down productions,1989,hip hop/reggae,
34,smile,lyle lovett,2003,country/folk,
35,go hard or go home,wiz khalifa,2015,pop/rock,"""Go Hard or Go Home"" is a song by American rapper Wiz Khalifa and Australian rapper Iggy Azalea. It appears on the Furious 7: Original Motion Picture Soundtrack (2015) and was available as an instant track upon pre-ordering the album via iTunes stores on February 17, 2015. The song was produced by The Featherstones. A second version entitled ""Go Hard or Go Home Part 2"" featuring Khalifa, French Montana, Trey Songz and Ty Dolla Sign was included as a bonus track on the deluxe version of the soundtrack."
36,tonight the bottle let me down,waylon jennings,1978,country/folk,
37,ends of the earth,kenny chesney,2018,country/folk,
38,bread and roses,judy collins,1976,pop/rock,
39,armed and ready,michael schenker group,1980,pop/rock,
40,the clincher,chevelle,2004,pop/rock,"""The Clincher"" is a song by American rock band Chevelle, released as the second single from the band's third album This Type of Thinking (Could Do Us In). The song is about claustrophobia, as confirmed by Sam Loeffler. Despite this, many people still mistakenly infer that the song is the band's take on The Passion of Christ, due to lyrics like ""helped to nail down"" which refers to the crucifixion. The song appears on the soundtrack to the video games Madden NFL 2005 and Guitar Hero Live."
41,dollar sign,vybz kartel,2010,country/folk,
42,haut de gamme,83,2009,hip hop/reggae,
43,wish it were me,the platters,1968,pop/rock,
44,l.i.t.,riley richard,2018,blues/jazz,
45,hearts on fire,hammerfall,2002,pop/rock,"""Hearts on Fire"" is a song by Swedish power metal band HammerFall released as their single on 30 September 2002. It was the only single released from their fourth studio album, Crimson Thunder. It ranked 11th in the Swedish charts and 58th in Germany.The cover artwork was created by Samwise Didier.
A promotional DVD, also titled Hearts on Fire, was released by Nuclear Blast on 4 November 2002. It ranked 9th in the Swedish charts."
46,nightclubbing,iggy pop,1977,pop/rock,"""Nightclubbing"" is a song written by David Bowie and Iggy Pop, first released by Iggy Pop on his debut solo studio album, The Idiot in 1977. It has been since considered ""a career highlight"", along with ""Lust for Life"" and has been covered by many artists. It is also extensively featured on other media."
