,question,entity_idx,question_idx,model_answer,model_reasoning,gold_answer,gold_entity
0, Is there an artist or group who sang a song titled day after day in 1971?,0,0,yes,"there is an artist who sang a song titled ""day after day"" in 1971. the song is by the artist/group badfinger.",yes,badfinger
1, Is it true that no artists nor groups sang a song titled day after day in 1971?,0,1,no,"it is not true. badfinger sang a song titled ""day after day"" in 1971.",no,badfinger
2, Is it true that there is an artist or group who sang a song titled day after day in 1971?,0,2,yes,"it is true. badfinger is an artist who sang a song titled ""day after day"" in 1971.",yes,badfinger
3, Is there an artist or group who sang a song titled elegie in 1975?,1,0,no,"there is no such artist or group. however, there is an artist who sang a song titled ""elegie"" in 1979. the song is by the artist patti smith group.",yes,patti smith
4, Is it true that no artists nor groups sang a song titled elegie in 1975?,1,1,no,"it is not true. patti smith sang a song titled ""elegie"" in 1975.",no,patti smith
5, Is it true that there is an artist or group who sang a song titled elegie in 1975?,1,2,no,"it is not true. there is no such artist or group. however, there is an artist who sang a song titled ""elegie"" in 1979. the song is by the artist patti smith group.",yes,patti smith
6, Is there an artist or group who sang a song titled jimmy james in 1992?,2,0,no,"there is no such artist or group. however, there is an artist who sang a song titled ""jimmy james"" in 1993. the song is by the artist beastie boys.",yes,beastie boys
7, Is it true that no artists nor groups sang a song titled jimmy james in 1992?,2,1,no,"it is not true. beastie boys sang a song titled ""jimmy james"" in 1992.",no,beastie boys
8, Is it true that there is an artist or group who sang a song titled jimmy james in 1992?,2,2,yes,it is true. the song is by the artist/group beastie boys.,yes,beastie boys
9, Is there an artist or group who sang a song titled congratulations in 1984?,3,0,no,"there is no such artist or group. however, there is an artist who sang a song titled ""congratulations"" in 1983. the song is by the artist eric clapton.",yes,reba mcentire
10, Is it true that no artists nor groups sang a song titled congratulations in 1984?,3,1,no,"it is not true. cliff richard sang a song titled ""congratulations"" in 1984.",no,reba mcentire
11, Is it true that there is an artist or group who sang a song titled congratulations in 1984?,3,2,no,"it is not true. however, there is an artist who sang a song titled ""congratulations"" in 1982. the song is by the artist the rolling stones.",yes,reba mcentire
12, Is there an artist or group who sang a song titled bad boy (feat. jungle rock jr.) in 2009?,4,0,no,"there is no such artist or group. however, there is an artist who sang a song titled ""bad boy (feat. jungle rock jr.)"" in 2008. the song is by the artist inner circle.",yes,"royce da 5'9"""
13, Is it true that no artists nor groups sang a song titled bad boy (feat. jungle rock jr.) in 2009?,4,1,no,"it is not true. the jolly boys sang a song titled ""bad boy (feat. jungle rock jr.)"" in 2009.",no,"royce da 5'9"""
