,entity_idx,question_idx,question,model_response
0,3,0,"Do you know the song ""congratulations"" by reba mcentire?",No.
1,3,1,"Is the song titled ""congratulations"" by reba mcentire released in 1984?",No.
2,4,0,"Do you know the song ""bad boy (feat. jungle rock jr.)"" by royce da 5'9""?",No.
3,4,1,"Is the song titled ""bad boy (feat. jungle rock jr.)"" by royce da 5'9"" released in 2009?",No.
4,4,2,"Is the genre of the song titled ""bad boy (feat. jungle rock jr.)"" by royce da 5'9"" hip hop/reggae?",No
5,5,0,"Do you know the song ""when i'm gone"" by marty robbins?",No. (RESPONSE ERROR)
6,5,1,"Is the song titled ""when i'm gone"" by marty robbins released in 1979?",No.
7,3,0,"Do you know the song ""congratulations"" by reba mcentire?",No.
8,3,1,"Is the song titled ""congratulations"" by reba mcentire released in 1984?",No.
9,4,0,"Do you know the song ""bad boy (feat. jungle rock jr.)"" by royce da 5'9""?",No.
10,4,1,"Is the song titled ""bad boy (feat. jungle rock jr.)"" by royce da 5'9"" released in 2009?",No.
11,4,2,"Is the genre of the song titled ""bad boy (feat. jungle rock jr.)"" by royce da 5'9"" hip hop/reggae?",No
12,5,0,"Do you know the song ""when i'm gone"" by marty robbins?",No.
13,5,1,"Is the song titled ""when i'm gone"" by marty robbins released in 1979?",No.
14,6,1,"Is the song titled ""in the garden"" by randy travis released in 2003?",No.
15,7,0,"Do you know the song ""the invite"" by pepper?",No.
16,7,1,"Is the song titled ""the invite"" by pepper released in 2016?",No.
17,7,2,"Is the genre of the song titled ""the invite"" by pepper country/folk?",No.
18,8,0,"Do you know the song ""toadies"" by minutemen?",No.
19,8,1,"Is the song titled ""toadies"" by minutemen released in 1984?",No.
20,9,1,"Is the song titled ""danger heartbreak dead ahead"" by the marvelettes released in 1988?",No.
21,9,2,"Is the genre of the song titled ""danger heartbreak dead ahead"" by the marvelettes blues/jazz?",No
22,10,2,"Is the genre of the song titled ""baby don't you weep"" by garnet mimms & the enchanters blues/jazz?",No
23,11,0,"Do you know the song ""fall"" by clay walker?",No.
24,14,0,"Do you know the song ""sing her a love song"" by carl smith?",No.
25,14,1,"Is the song titled ""sing her a love song"" by carl smith released in 1956?",No.
26,15,0,"Do you know the song ""but not for me"" by red garland?",No.
27,16,0,"Do you know the song ""walk it off"" by lil wayne?",No.
28,16,1,"Is the song titled ""walk it off"" by lil wayne released in 2014?",No
29,16,2,"Is the genre of the song titled ""walk it off"" by lil wayne hip hop/reggae?",No
30,17,0,"Do you know the song ""engineers"" by gary numan?",No.
31,17,1,"Is the song titled ""engineers"" by gary numan released in 1979?",No.
32,18,0,"Do you know the song ""morning sunrise"" by weldon irvine?",No.
33,18,1,"Is the song titled ""morning sunrise"" by weldon irvine released in 2016?",No.
34,19,0,"Do you know the song ""county sheriff"" by red simpson?",No.
35,19,1,"Is the song titled ""county sheriff"" by red simpson released in 1966?",No.
36,20,0,"Do you know the song ""got to get a knutt"" by the new birth?",No.
37,20,2,"Is the genre of the song titled ""got to get a knutt"" by the new birth blues/jazz?",No
38,21,2,"Is the genre of the song titled ""make her say"" by kid cudi pop/rock?",No
39,23,0,"Do you know the song ""why did you hoodoo me"" by savoy brown?",No.
40,24,0,"Do you know the song ""earth angel"" by bobby vee?",No.
41,24,1,"Is the song titled ""earth angel"" by bobby vee released in 1961?",No.
42,25,0,"Do you know the song ""ragged as the road"" by reckless kelly?",No.
43,27,0,"Do you know the song ""city club"" by the growlers?",No.
44,29,0,"Do you know the song ""night life"" by ray price?",No.
45,30,0,"Do you know the song ""freedom sound"" by the skatalites?",No.
46,30,1,"Is the song titled ""freedom sound"" by the skatalites released in 1997?",No.
47,30,2,"Is the genre of the song titled ""freedom sound"" by the skatalites country/folk?",No.
48,31,2,"Is the genre of the song titled ""the pot"" by tool pop/rock?",No.
49,32,0,"Do you know the song ""two seconds too late"" by welshly arms?",No.
50,32,1,"Is the song titled ""two seconds too late"" by welshly arms released in 2013?",No.
51,32,2,"Is the genre of the song titled ""two seconds too late"" by welshly arms blues/jazz?",No
52,34,0,"Do you know the song ""smile"" by lyle lovett?",No.
