,entity_idx,question_idx,question,choices,gold_answer,gold_entity,model_answer,model_response_all,model_reasoning
21,7,0,What's the inaccurate option about the airport Dublin?,"['Option 1: Shortcode of the airport is EIDW.', 'Option 2: Latitude of the airport is 53.4213.', 'Option 3: Longitude of the airport is 17.5178.', 'Option 4: Location of the airport is IE.']",3,-6.2701,3,"A: Option 3: Longitude of the airport is 17.5178. Explanation: The longitude of Dublin Airport is -6.248889, not 17.5178. The other options are correct: - Shortcode of the airport is EIDW. - Latitude of the airport is 53.4213. - Location of the airport is IE (Ireland).",0
22,7,1,What is the false option about the airport Dublin?,"['Option 1: The abbreviated form for the airport is EIDW.', 'Option 2: The latitude of the airport is 53.4213.', 'Option 3: The longitude of the airport is 17.5178.', 'Option 4: The airport is located in IE.']",3,-6.2701,3,"A: Option 3: The longitude of the airport is 17.5178. Explanation: The longitude of Dublin Airport is -6.248889, not 17.5178. The other options are correct: - The abbreviated form for the airport is EIDW. - The latitude of the airport is 53.4213. - The airport is located in IE (Ireland).",0
23,7,2,What is the wrong option regarding the airport Dublin?,"['Option 1: The shortcode for the airport is the same with EIDW.', 'Option 2: The airport is located at 53.4213 latitude.', 'Option 3: The airport is located at 17.5178 longitude.', 'Option 4: The airport is situated in IE.']",3,-6.2701,3,"A: Option 3: The airport is located at 17.5178 longitude. Explanation: The airport Dublin is located at 53.4213 latitude and -6.2488 longitude. Therefore, the airport is not located at 17.5178 longitude.",0
222,74,0,What's the inaccurate option about the airport Agartala?,"['Option 1: Shortcode of the airport is VEAT.', 'Option 2: Latitude of the airport is 23.887.', 'Option 3: Longitude of the airport is 31.9198.', 'Option 4: Location of the airport is IN.']",3,91.2404,4,"A: Option 4: Location of the airport is IN. Explanation: The airport code for Agartala Airport is IXA, not IN. The latitude and longitude of the airport are 23.887 and 91.9198, respectively. The airport is located in Agartala, Tripura, India.",0
223,74,1,What is the false option about the airport Agartala?,"['Option 1: The abbreviated form for the airport is VEAT.', 'Option 2: The latitude of the airport is 23.887.', 'Option 3: The longitude of the airport is 31.9198.', 'Option 4: The airport is located in IN.']",3,91.2404,1,"A: Option 1: The abbreviated form for the airport is VEAT. Explanation: The abbreviated form for the airport Agartala is IXA, not VEAT. VEAT is the abbreviated form for the airport in Venice, Italy.",0
224,74,2,What is the wrong option regarding the airport Agartala?,"['Option 1: The shortcode for the airport is the same with VEAT.', 'Option 2: The airport is located at 23.887 latitude.', 'Option 3: The airport is located at 31.9198 longitude.', 'Option 4: The airport is situated in IN.']",3,91.2404,3,"A: Option 3: The airport is located at 31.9198 longitude. Explanation: The airport Agartala is located at 23.887 latitude and 91.2417 longitude. Therefore, the airport is not located at 31.9198 longitude.",1
633,211,0,What's the inaccurate option about the airport Kansas City International?,"['Option 1: Shortcode of the airport is KMCI.', 'Option 2: Latitude of the airport is 48.2428.', 'Option 3: Longitude of the airport is -94.7139.', 'Option 4: Location of the airport is US.']",2,39.2976,2,"A: Option 2: Latitude of the airport is 48.2428. Explanation: The latitude of Kansas City International Airport is 39.2976, not 48.2428. The latitude of 48.2428 corresponds to the location of Regina International Airport in Canada.",1
634,211,1,What is the false option about the airport Kansas City International?,"['Option 1: The abbreviated form for the airport is KMCI.', 'Option 2: The latitude of the airport is 48.2428.', 'Option 3: The longitude of the airport is -94.7139.', 'Option 4: The airport is located in US.']",2,39.2976,2,"A: Option 2: The latitude of the airport is 48.2428. Explanation: The latitude of Kansas City International Airport is 39.2976, not 48.2428. The latitude of 48.2428 corresponds to the location of Winnipeg James Armstrong Richardson International Airport in Canada.",1
635,211,2,What is the wrong option regarding the airport Kansas City International?,"['Option 1: The shortcode for the airport is the same with KMCI.', 'Option 2: The airport is located at 48.2428 latitude.', 'Option 3: The airport is located at -94.7139 longitude.', 'Option 4: The airport is situated in US.']",2,39.2976,2,"A: Option 2: The airport is located at 48.2428 latitude. Explanation: The airport Kansas City International is located at 39.2976 latitude and -94.7139 longitude. Therefore, the option 2 is wrong.",1
777,259,0,What's the inaccurate option about the airport Jacqueline Cochran Regional?,"['Option 1: Shortcode of the airport is KTRM.', 'Option 2: Latitude of the airport is 41.3006.', 'Option 3: Longitude of the airport is -116.1597.', 'Option 4: Location of the airport is US.']",2,33.6267,2,"A: Option 2: Latitude of the airport is 41.3006. Explanation: The latitude of Jacqueline Cochran Regional Airport is 34.0422, not 41.3006. The other options are correct: the shortcode of the airport is KTRM, the longitude of the airport is -116.1597, and the location of the airport is US.",0
778,259,1,What is the false option about the airport Jacqueline Cochran Regional?,"['Option 1: The abbreviated form for the airport is KTRM.', 'Option 2: The latitude of the airport is 41.3006.', 'Option 3: The longitude of the airport is -116.1597.', 'Option 4: The airport is located in US.']",2,33.6267,2,"A: Option 2: The latitude of the airport is 41.3006. Explanation: The latitude of Jacqueline Cochran Regional Airport is 34.0422, not 41.3006. The other options are correct: the abbreviated form for the airport is KTRM, the longitude of the airport is -116.1597, and the airport is located in the United States.",0
779,259,2,What is the wrong option regarding the airport Jacqueline Cochran Regional?,"['Option 1: The shortcode for the airport is the same with KTRM.', 'Option 2: The airport is located at 41.3006 latitude.', 'Option 3: The airport is located at -116.1597 longitude.', 'Option 4: The airport is situated in US.']",2,33.6267,2,"A: Option 2: The airport is located at 41.3006 latitude. Explanation: The airport Jacqueline Cochran Regional is located at 33.9419 latitude and -117.8681 longitude. Therefore, the option 2 is wrong.",0
1008,336,0,What's the inaccurate option about the airport H L Sonny Callahan?,"['Option 1: Shortcode of the airport is KCQF.', 'Option 2: Latitude of the airport is 30.4605.', 'Option 3: Longitude of the airport is 70.8825.', 'Option 4: Location of the airport is US.']",3,-87.877,3,"A: Option 3: Longitude of the airport is 70.8825. Explanation: The longitude of H L Sonny Callahan Airport is -88.2078, not 70.8825. The airport is located in Mobile, Alabama, United States. The latitude of the airport is 30.4605 and the shortcode is KCQF.",0
1009,336,1,What is the false option about the airport H L Sonny Callahan?,"['Option 1: The abbreviated form for the airport is KCQF.', 'Option 2: The latitude of the airport is 30.4605.', 'Option 3: The longitude of the airport is 70.8825.', 'Option 4: The airport is located in US.']",3,-87.877,3,"A: Option 3: The longitude of the airport is 70.8825. Explanation: The longitude of H L Sonny Callahan Airport is -88.2078, not 70.8825. The correct answer should be Option 3.",0
