,question,entity_idx,question_idx,model_answer,model_reasoning,gold_answer,gold_entity,reasoning_erbench,reasoning_manual
0, Is there an artist or group who sang a song titled day after day in 1971?,0,0,yes,"there is an artist who sang a song titled ""day after day"" in 1971. the song was performed by the british rock band badfinger. it was written by pete ham, the band's lead vocalist and guitarist, and it was one of their most successful singles.",yes,badfinger,1,1
1, Is it true that no artists nor groups sang a song titled day after day in 1971?,0,1,no,"it is not true. the british rock band badfinger released a song titled ""day after day"" in 1971. this song was a hit and is one of their most recognized songs.",no,badfinger,1,1
2, Is there an artist or group who sang a song titled elegie in 1975?,1,0,yes,"there is an artist who sang a song titled ""elegie"" in 1975. the artist is patti smith and the song is included in her debut studio album ""horses.""",yes,patti smith,1,1
3, Is it true that no artists nor groups sang a song titled elegie in 1975?,1,1,unsure,"without specific research or comprehensive knowledge of all songs released in 1975, it's impossible to definitively say whether or not any artists or groups released a song titled ""elegie"" in that year. music is a vast and diverse field with countless artists and groups across the globe, and it's quite possible that a song with this title could have been released without gaining mainstream recognition.",no,patti smith,0,0
4, Is there an artist or group who sang a song titled jimmy james in 1992?,2,0,yes,"the beastie boys, an american hip hop group, released a song titled ""jimmy james"" in 1992. it was the first track on their album ""check your head.""",yes,beastie boys,1,1
5, Is it true that no artists nor groups sang a song titled jimmy james in 1992?,2,1,no,"it's not true. the beastie boys, an american hip hop group, released a song titled ""jimmy james"" in 1992. it was the first track on their album ""check your head.""",no,beastie boys,1,1
6, Is there an artist or group who sang a song titled congratulations in 1984?,3,0,no,"there is no record of an artist or group who released a song titled ""congratulations"" in 1984. the song ""congratulations"" by cliff richard was released in 1968, and the song ""congratulations"" by post malone was released in 2016. however, there is no record of a song with that title being released in 1984.",yes,reba mcentire,0,0
7, Is it true that no artists nor groups sang a song titled congratulations in 1984?,3,1,unsure,"without specific research or comprehensive knowledge of all songs released globally in 1984, it's impossible to definitively say whether or not any artists or groups released a song titled ""congratulations"" in that year. music is a vast and diverse field with countless artists and groups across various genres and countries, making it difficult to confirm such a specific fact without detailed information.",no,reba mcentire,0,0
8, Is there an artist or group who sang a song titled bad boy (feat. jungle rock jr.) in 2009?,4,0,no,"there doesn't seem to be any record of a song titled ""bad boy (feat. jungle rock jr.)"" released in 2009 by any artist or group. it's possible that the song is lesser-known, not widely distributed, or simply doesn't exist. please note that music databases are not always complete, especially for less mainstream or international music.",yes,"royce da 5'9""",0,0
9, Is it true that no artists nor groups sang a song titled bad boy (feat. jungle rock jr.) in 2009?,4,1,unsure,"as an ai, i don't have real-time access to databases or the ability to search the internet. therefore, i can't provide a definitive answer to this question. however, the title ""bad boy (feat. jungle rock jr.)"" is quite specific, and without access to a comprehensive music database, it's impossible to confirm whether such a song was released in 2009 by any artist or group.",no,"royce da 5'9""",0,0
10, Is there an artist or group who sang a song titled when i'm gone in 1979?,5,0,no,"there is no record of an artist or group who released a song titled ""when i'm gone"" in 1979. the song ""when i'm gone"" is popularly associated with artists like 3 doors down and eminem, but these songs were released in the 2000s. it's possible that a less well-known artist or group released a song with this title in 1979, but without more specific information, it's impossible to say for sure.",yes,marty robbins,0,0
11, Is it true that no artists nor groups sang a song titled when i'm gone in 1979?,5,1,unsure,"without specific research or knowledge about every song released in 1979, it's impossible to definitively say whether or not any artists or groups released a song titled ""when i'm gone"" in that year. the title is fairly common and could potentially have been used by any number of artists across various genres.",no,marty robbins,0,0
12, Is there an artist or group who sang a song titled in the garden in 2003?,6,0,yes,"there is an artist who sang a song titled ""in the garden"" in 2003. the artist is van morrison. he included the song ""in the garden"" in his live album ""what's wrong with this picture?"" which was released in 2003. however, it should be noted that the original version of the song was released in 1986 in his album ""no guru, no method, no teacher"".",yes,randy travis,0,0
13, Is it true that no artists nor groups sang a song titled in the garden in 2003?,6,1,unsure,"without specific research or data, it's impossible to definitively say whether or not any artists or groups sang a song titled ""in the garden"" in 2003. the music industry is vast and global, with countless songs produced each year, many of which may not gain widespread recognition or be easily traceable.",no,randy travis,0,0
14, Is there an artist or group who sang a song titled the invite in 2016?,7,0,unsure,"as an ai, i don't have real-time access to databases or the internet, but as of my last update, i don't have any information about a song titled ""the invite"" by any artist or group in 2016. therefore, my answer would be no. however, music is a vast and diverse field with numerous artists and songs, and it's possible that such a song exists but is not widely known or recognized.",yes,pepper,0,0
15, Is it true that no artists nor groups sang a song titled the invite in 2016?,7,1,unsure,"as an ai, i don't have real-time access to databases or the ability to search the internet. as of the last update, i don't have specific information about a song titled ""the invite"" released by any artist or group in 2016. however, the music industry is vast and diverse, and it's possible that such a song could exist in a less mainstream context or in a non-english language. therefore, i would recommend conducting an internet search or checking music databases for the most accurate and up-to-date information.",no,pepper,0,0
16, Is there an artist or group who sang a song titled toadies in 1984?,8,0,no,"there is no record of an artist or group who sang a song titled ""toadies"" in 1984. the toadies is actually a band itself, but they were formed in 1989 and their music does not date back to 1984.",yes,minutemen,0,0
17, Is it true that no artists nor groups sang a song titled toadies in 1984?,8,1,unsure,"as an ai, i don't have real-time access to all databases or the ability to search the internet. however, based on the general knowledge i was trained on, i'm not aware of any song titled ""toadies"" by any artist or group in 1984. it's important to note that this doesn't definitively mean there wasn't one – just that it's not widely known or recognized if it does exist.",no,minutemen,0,0
18, Is there an artist or group who sang a song titled danger heartbreak dead ahead in 1988?,9,0,no,"there is no artist or group who sang a song titled ""danger heartbreak dead ahead"" in 1988. the song ""danger heartbreak dead ahead"" was originally performed by the marvelettes and was released in 1965. it was later covered by artists like bonnie raitt and taylor hicks, but none of these covers were released in 1988.",yes,the marvelettes,1,0
19, Is it true that no artists nor groups sang a song titled danger heartbreak dead ahead in 1988?,9,1,yes,"it is true. the song ""danger heartbreak dead ahead"" was originally recorded by the marvelettes, a popular girl group from the motown era, in 1965. there is no record of any artist or group releasing a song with this title in 1988. however, it's important to note that songs can be covered or re-released by different artists at different times, but there is no specific record of this song being covered or re-released in 1988.",no,the marvelettes,1,0
20, Is there an artist or group who sang a song titled baby don't you weep in 1963?,10,0,yes,"there is an artist who sang a song titled ""baby don't you weep"" in 1963. the artist is garnet mimms and the enchanters. the song was released as a single in 1963 and became a hit in the united states.",yes,garnet mimms & the enchanters,0,1
21, Is it true that no artists nor groups sang a song titled baby don't you weep in 1963?,10,1,no,"it is not true. the song ""baby don't you weep"" was indeed sung by a group in 1963. the group was garnet mimms and the enchanters. they released this song as a single in 1963. it's a soul song that became quite popular during that time.",no,garnet mimms & the enchanters,0,1
22, Is there an artist or group who sang a song titled fall in 2007?,11,0,yes,"there are artists who released songs titled ""fall"" in 2007. for instance, american singer-songwriter clay walker released a song titled ""fall"" in 2007. the song is from his album named ""fall,"" and it peaked at number 5 on the billboard hot country songs chart.",yes,clay walker,1,1
23, Is it true that no artists nor groups sang a song titled fall in 2007?,11,1,unsure,"without specific research or comprehensive knowledge of all songs released globally in 2007, it's impossible to definitively say whether or not any artists or groups released a song titled ""fall"" in that year. music is a global and diverse field with countless artists and groups, making it difficult to track every song title from a specific year.",no,clay walker,0,0
24, Is there an artist or group who sang a song titled the sun is rising in 2012?,12,0,yes,"there is an artist who sang a song titled ""the sun is rising"" in 2012. the artist is britt nicole, a contemporary christian music singer-songwriter. the song ""the sun is rising"" is from her album ""gold"" which was released in 2012. the song has been popular in christian music circles and has been used in various media, including the 2014 film ""the other woman.""",yes,britt nicole,1,1
25, Is it true that no artists nor groups sang a song titled the sun is rising in 2012?,12,1,unsure,"without specific research or knowledge, it's impossible to definitively say whether no artists or groups sang a song titled ""the sun is rising"" in 2012. the music industry is vast and global, with countless songs produced each year, many of which may not gain mainstream attention or may be produced in different languages. therefore, without a comprehensive database or specific knowledge, it's uncertain whether a song with that title was produced in that specific year.",no,britt nicole,0,0
26, Is there an artist or group who sang a song titled that's the way love goes in 1993?,13,0,yes,"there is an artist who sang a song titled ""that's the way love goes"" in 1993. the song was performed by janet jackson. it was the lead single from her fifth studio album, titled ""janet."" the song was a commercial success, topping the billboard hot 100 chart in the united states for eight weeks.",yes,janet jackson,1,1
27, Is it true that no artists nor groups sang a song titled that's the way love goes in 1993?,13,1,no,"it is not true. janet jackson, a renowned artist, released a song titled ""that's the way love goes"" in 1993. the song was a major hit and won the grammy award for best r&b song in the following year.",no,janet jackson,1,1
28, Is there an artist or group who sang a song titled sing her a love song in 1956?,14,0,unsure,"without specific information or a comprehensive database of all songs released in 1956, it's not possible to definitively say whether there was an artist or group who sang a song titled ""sing her a love song"" in that year. the music industry is vast and diverse, and while there are many resources for tracking popular songs and artists, it's more challenging to find information about less well-known music, especially from over half a century ago.",yes,carl smith,0,0
29, Is it true that no artists nor groups sang a song titled sing her a love song in 1956?,14,1,unsure,"as an ai, i don't have real-time access to all databases or the ability to search the internet. however, based on the general knowledge i was trained on, i don't have specific information about a song titled ""sing her a love song"" being released by any artist or group in 1956. therefore, i can't definitively confirm or deny this. it's recommended to check a comprehensive music database or discography for the most accurate information.",no,carl smith,0,0
30, Is there an artist or group who sang a song titled but not for me in 1957?,15,0,yes,"there is an artist who sang a song titled ""but not for me"" in 1957. the song was performed by ella fitzgerald. this song is part of the great american songbook and was originally written by george gershwin and ira gershwin for the broadway musical ""girl crazy"" in 1930. ella fitzgerald included it in her 1957 album ""ella fitzgerald sings the george and ira gershwin songbook.""",yes,red garland,0,0
31, Is it true that no artists nor groups sang a song titled but not for me in 1957?,15,1,no,"it's not true. the song ""but not for me"" was indeed sung by artists in 1957. for instance, ella fitzgerald, a renowned jazz singer, recorded her version of ""but not for me"" in 1957 for her album ""ella fitzgerald sings the george and ira gershwin songbook."" the song was originally composed by george gershwin and ira gershwin for the 1930 musical ""girl crazy.""",no,red garland,0,0
32, Is there an artist or group who sang a song titled walk it off in 2014?,16,0,no,"there doesn't appear to be a song titled ""walk it off"" released by any artist or group in 2014. the information available does not show any song with that specific title released in that specific year. however, it's important to note that there could be lesser-known or independent artists who have released a song with this title that may not be widely documented or recognized.",yes,lil wayne,0,0
33, Is it true that no artists nor groups sang a song titled walk it off in 2014?,16,1,unsure,"without specific research or comprehensive knowledge of all songs released in 2014, it's impossible to definitively say whether or not any artists or groups released a song titled ""walk it off"" in that year. music is a vast and diverse field with countless artists and groups across the globe, and new songs are released every day. therefore, without conducting a thorough search, it's uncertain.",no,lil wayne,0,0
34, Is there an artist or group who sang a song titled engineers in 1979?,17,0,no,"there is no record of an artist or group who sang a song titled ""engineers"" in 1979. the information available on music databases and discographies does not show any song with that specific title from that specific year. it's possible that a song about engineers was created in 1979, but it might not have been popular or widely distributed, hence the lack of information.",yes,gary numan,0,0
35, Is it true that no artists nor groups sang a song titled engineers in 1979?,17,1,unsure,"without specific and comprehensive data on all songs released globally in 1979, it's impossible to definitively say whether or not a song titled ""engineers"" was released by any artist or group. the music industry is vast and diverse, with countless artists and groups across various countries and genres, many of which may not have widespread recognition or easily accessible records. therefore, while it's possible that no such song was released, it's also possible that such a song does exist but is not widely known or easily found.",no,gary numan,0,0
36, Is there an artist or group who sang a song titled morning sunrise in 2016?,18,0,unsure,"without specific information or context, it's difficult to confirm if there was an artist or group who sang a song titled ""morning sunrise"" in 2016. the music industry is vast and global, with many songs produced and released each year. it's possible that a song with that title was released in 2016, but without more details, it's impossible to say for certain.",yes,weldon irvine,0,0
37, Is it true that no artists nor groups sang a song titled morning sunrise in 2016?,18,1,unsure,"as an ai, i don't have real-time access to databases or the ability to search the internet. therefore, i can't provide a definitive yes or no answer to this question. the title ""morning sunrise"" is quite generic and it's possible that an artist or group could have used it for a song in 2016. however, without specific data or the ability to search for this information, i can't confirm or deny it.",no,weldon irvine,0,0
38, Is there an artist or group who sang a song titled county sheriff in 1966?,19,0,unsure,"without specific information or a comprehensive database of all songs released in 1966, it's impossible to definitively say whether or not there was a song titled ""county sheriff"" released by an artist or group that year. the music industry is vast and diverse, and while there are many resources for tracking popular songs and artists, it's more challenging to find information about less well-known music, especially from over 50 years ago.",yes,red simpson,0,0
39, Is it true that no artists nor groups sang a song titled county sheriff in 1966?,19,1,unsure,"as an ai, i don't have real-time access to all music databases, but based on the general knowledge available, there is no widely recognized song titled ""county sheriff"" by any artist or group in 1966. however, it's important to note that there could be lesser-known or local artists who may have produced a song with this title that isn't widely documented or recognized.",no,red simpson,0,0
40, Is there an artist or group who sang a song titled got to get a knutt in 1972?,20,0,yes,"there is an artist who sang a song titled ""got to get a knutt"" in 1972. the song was performed by the new birth, an american funk and r&b band.",yes,the new birth,1,1
41, Is it true that no artists nor groups sang a song titled got to get a knutt in 1972?,20,1,no,"it is not true. the new birth, an american funk and r&b group, released a song titled ""got to get a knutt"" in 1972. the song is from their album ""birth day.""",no,the new birth,1,1
42, Is there an artist or group who sang a song titled make her say in 2009?,21,0,yes,"there is an artist who sang a song titled ""make her say"" in 2009. the song was performed by american rapper kid cudi. the song also features kanye west and common, and it was released as the second single from kid cudi's debut album ""man on the moon: the end of day"".",yes,kid cudi,1,1
43, Is it true that no artists nor groups sang a song titled make her say in 2009?,21,1,no,"it is not true. the song ""make her say"" was released in 2009 by the artist kid cudi, featuring kanye west and common. the song was part of kid cudi's debut album ""man on the moon: the end of day.""",no,kid cudi,1,1
44, Is there an artist or group who sang a song titled ed is dead in 1987?,22,0,no,"there is no artist or group who sang a song titled ""ed is dead"" in 1987. however, the band pixies has a song titled ""ed is dead"" but it was released in 1988 as part of their album ""surfer rosa.""",yes,pixies,1,0
45, Is it true that no artists nor groups sang a song titled ed is dead in 1987?,22,1,no,"it is not true. the band pixies, an american alternative rock band, released a song titled ""ed is dead"" in their 1987 album ""come on pilgrim.""",no,pixies,1,1
46, Is there an artist or group who sang a song titled why did you hoodoo me in 2017?,23,0,yes,"there is an artist who sang a song titled ""why did you hoodoo me"" in 2017. the song is by the british rock band savoy brown from their album ""witchy feelin'"".",yes,savoy brown,1,1
47, Is it true that no artists nor groups sang a song titled why did you hoodoo me in 2017?,23,1,no,"it is not true. the song ""why did you hoodoo me"" was indeed sung by an artist in 2017. the british rock band savoy brown released this song as part of their album ""witchy feelin'"" in august 2017.",no,savoy brown,1,1
