,entity_idx,prompt_idx,question,rationale,model_gold_entity,gold_entity
0,0,0," Is there a movie, released in 2009, starring CCH Pounder where James Cameron is the director?","No, there is no movie, released in 2009, starring CCH Pounder where James Cameron is the director. James Cameron has never directed a movie starring CCH Pounder.",avatar,avatar
1,0,1," Is it true that there are no movies, released in 2009, starring CCH Pounder where James Cameron is the director?","Yes, it is true. However, there is a movie, ""Avatar"" that James Cameron directed and CCH Pounder starred in, which was released in 2009.",avatar,avatar
2,1,0," Is there a movie, released in 2007, starring Johnny Depp where Gore Verbinski is the director?","Yes, the movie, among various movies that Gore Verbinski directed in 2007, Johnny Depp starred in the movie, ""Pirates of the Caribbean: At World's End"".",pirates of the caribbean: at world's end,pirates of the caribbean: at world's end
3,1,1," Is it true that there are no movies, released in 2007, starring Johnny Depp where Gore Verbinski is the director?","No, it is not true. The movie, ""Pirates of the Caribbean: At World's End"" that Gore Verbinski directed, where Johnny Depp starred in, was released in 2007.",pirates of the caribbean: at world's end,pirates of the caribbean: at world's end
4,2,0," Is there a movie, released in 2015, starring Christoph Waltz where Sam Mendes is the director?","No, however there is a movie, ""Spectre"" that Sam Mendes directed, where Christoph Waltz starred in, which was released in 2015.",spectre,spectre
5,2,1," Is it true that there are no movies, released in 2015, starring Christoph Waltz where Sam Mendes is the director?","Yes, it is true. However, there is a movie, ""Spectre"" that Sam Mendes directed and Christoph Waltz starred in, which was released in 2015.",spectre,spectre
6,3,0," Is there a movie, released in 2012, starring Tom Hardy where Christopher Nolan is the director?","No, there is no movie, released in 2012, starring Tom Hardy where Christopher Nolan is the director.",the dark knight rises,the dark knight rises
7,3,1," Is it true that there are no movies, released in 2012, starring Tom Hardy where Christopher Nolan is the director?","Yes, it is true. However, there is a movie, ""Inception"" that Christopher Nolan directed and Tom Hardy starred in, which was released in 2010.",the dark knight rises,the dark knight rises
8,4,0," Is there a movie, released in 2012, starring Daryl Sabara where Andrew Stanton is the director?","No, there is no movie, released in 2012, starring Daryl Sabara where Andrew Stanton is the director. Andrew Stanton has never directed a movie starring Daryl Sabara, and Daryl Sabara has never starred in a movie directed by Andrew Stanton.",john carter,john carter
9,4,1," Is it true that there are no movies, released in 2012, starring Daryl Sabara where Andrew Stanton is the director?","Yes, it is true. However, there is a movie, ""John Carter"" that Andrew Stanton directed, where Daryl Sabara starred in, which was released in 2012.",john carter,john carter
10,5,0," Is there a movie, released in 2007, starring J.K. Simmons where Sam Raimi is the director?","No, however there is a movie, ""Spider-Man 3"" that Sam Raimi directed, where J.K. Simmons starred in, which was released in 2007.",spider-man 3,spider-man 3
11,5,1," Is it true that there are no movies, released in 2007, starring J.K. Simmons where Sam Raimi is the director?","Yes, it is true. However, there is a movie, ""Spider-Man 2"" that Sam Raimi directed, where J.K. Simmons starred in, which was released in 2004.",spider-man 3,spider-man 3
12,6,0," Is there a movie, released in 2010, starring Brad Garrett where Nathan Greno is the director?","Unsure. There is a movie, ""Tangled"" that Nathan Greno directed, where Brad Garrett starred in, but it was released in 2010. However, there is also a movie, ""Tangled Ever After"" that Nathan Greno directed, where Brad Garrett starred in, but it was released in 2012.",tangled,tangled
13,6,1," Is it true that there are no movies, released in 2010, starring Brad Garrett where Nathan Greno is the director?","Yes, it is true. However, there is a movie, ""Tangled"" that Nathan Greno directed, where Brad Garrett starred in, which was released in 2010.",tangled,tangled
14,7,0," Is there a movie, released in 2015, starring Chris Hemsworth where Joss Whedon is the director?","No, there is no movie, released in 2015, starring Chris Hemsworth where Joss Whedon is the director.",avengers: age of ultron,avengers: age of ultron
15,7,1," Is it true that there are no movies, released in 2015, starring Chris Hemsworth where Joss Whedon is the director?","Yes, it is true. However, there is a movie, ""The Avengers"" that Joss Whedon directed, where Chris Hemsworth starred in, which was released in 2012.",avengers: age of ultron,avengers: age of ultron
16,8,0," Is there a movie, released in 2009, starring Alan Rickman where David Yates is the director?","Yes, the movie, among various movies that David Yates directed in 2009, Alan Rickman starred in the movie, ""Harry Potter and the Half-Blood Prince"".",harry potter and the half-blood prince,harry potter and the half-blood prince
