,entity_idx,question_idx,question,choices,gold_answer,gold_entity,model_answer,model_response_all,model_reasoning
21,7,0,What's the inaccurate option about the airport Dublin?,"['Option 1: Shortcode of the airport is HL59.', 'Option 2: Latitude of the airport is 53.4213.', 'Option 3: Longitude of the airport is -6.2701.', 'Option 4: Location of the airport is IE.']",1,EIDW,4,"4. Dublin Airport is located in Ireland (IE). Explanation: Option 4 is the correct answer. Dublin Airport is located in Ireland, and its IATA code is DUB. The shortcode of the airport is HL59, but it is not used for identification purposes. The latitude and longitude of the airport are 53.4213 and -6.2701, respectively.",0
22,7,1,What is the false option about the airport Dublin?,"['Option 1: The abbreviated form for the airport is HL59.', 'Option 2: The latitude of the airport is 53.4213.', 'Option 3: The longitude of the airport is -6.2701.', 'Option 4: The airport is located in IE.']",1,EIDW,1,1,0
23,7,2,What is the wrong option regarding the airport Dublin?,"['Option 1: The shortcode for the airport is the same with HL59.', 'Option 2: The airport is located at 53.4213 latitude.', 'Option 3: The airport is located at -6.2701 longitude.', 'Option 4: The airport is situated in IE.']",1,EIDW,4,4,0
222,74,0,What's the inaccurate option about the airport Agartala?,"['Option 1: Shortcode of the airport is VEAT.', 'Option 2: Latitude of the airport is 23.887.', 'Option 3: Longitude of the airport is 91.2404.', 'Option 4: Location of the airport is BR.']",4,"IN, India",4,"4. The location of the airport is BR. The correct answer is option 4. The location of the airport is BR, which stands for Bangladesh. The airport is located in the city of Agartala, which is the capital of the Indian state of Tripura. The airport's code is VEAT, which stands for Agartala Airport. The latitude of the airport is 23.887, and the longitude is 91.2404.",1
223,74,1,What is the false option about the airport Agartala?,"['Option 1: The abbreviated form for the airport is VEAT.', 'Option 2: The latitude of the airport is 23.887.', 'Option 3: The longitude of the airport is 91.2404.', 'Option 4: The airport is located in BR.']",4,"IN, India",4,4,0
224,74,2,What is the wrong option regarding the airport Agartala?,"['Option 1: The shortcode for the airport is the same with VEAT.', 'Option 2: The airport is located at 23.887 latitude.', 'Option 3: The airport is located at 91.2404 longitude.', 'Option 4: The airport is situated in BR.']",4,"IN, India",1,1,0
633,211,0,What's the inaccurate option about the airport Kansas City International?,"['Option 1: Shortcode of the airport is KMCI.', 'Option 2: Latitude of the airport is 39.2976.', 'Option 3: Longitude of the airport is -94.7139.', 'Option 4: Location of the airport is CF.']",4,"US, United States Of America",4,"4. The location of the airport is CF. Explanation: Option 4 is the inaccurate option. The correct location of the airport is KCMO, not CF. The airport is located in Kansas City, Missouri, and its official code is KCMO. The shortcode of the airport is KMCI, but it is not the location. The latitude and longitude of the airport are 39.2976 and -94.7139, respectively.",0
634,211,1,What is the false option about the airport Kansas City International?,"['Option 1: The abbreviated form for the airport is KMCI.', 'Option 2: The latitude of the airport is 39.2976.', 'Option 3: The longitude of the airport is -94.7139.', 'Option 4: The airport is located in CF.']",4,"US, United States Of America",4,4,0
635,211,2,What is the wrong option regarding the airport Kansas City International?,"['Option 1: The shortcode for the airport is the same with KMCI.', 'Option 2: The airport is located at 39.2976 latitude.', 'Option 3: The airport is located at -94.7139 longitude.', 'Option 4: The airport is situated in CF.']",4,"US, United States Of America",4,4,0
777,259,0,What's the inaccurate option about the airport Jacqueline Cochran Regional?,"['Option 1: Shortcode of the airport is KGCT.', 'Option 2: Latitude of the airport is 33.6267.', 'Option 3: Longitude of the airport is -116.1597.', 'Option 4: Location of the airport is US.']",1,KTRM,4,4,0
778,259,1,What is the false option about the airport Jacqueline Cochran Regional?,"['Option 1: The abbreviated form for the airport is KGCT.', 'Option 2: The latitude of the airport is 33.6267.', 'Option 3: The longitude of the airport is -116.1597.', 'Option 4: The airport is located in US.']",1,KTRM,1,1,0
779,259,2,What is the wrong option regarding the airport Jacqueline Cochran Regional?,"['Option 1: The shortcode for the airport is the same with KGCT.', 'Option 2: The airport is located at 33.6267 latitude.', 'Option 3: The airport is located at -116.1597 longitude.', 'Option 4: The airport is situated in US.']",1,KTRM,MULTIPLE ANSWER ERROR,33.6267 latitude. Explanation: Option 2 is the wrong answer because the airport is located at 33.6267 latitude is not the correct shortcode for the airport. The correct shortcode for the airport is KGCT. Option 3 is also incorrect because the airport is located at -116.1597 longitude is not the correct latitude for the airport. Option 4 is correct because the airport is situated in US.,0
