,question,entity_idx,question_idx,model_answer,model_reasoning,gold_answer,gold_entity
0, Is there a soccer player from Argentina who played for FC Barcelona with uniform number 10 in FC Barcelona in 2019?,0,0,yes,"l. messi, a argentina footballer, was a member of fc barcelona and wore the uniform number 10 while playing for fc barcelona in 2019.",yes,Messi
1, Is it true that there are no soccer players from Argentina who played for FC Barcelona with uniform number 10 in FC Barcelona in 2019?,0,1,no,"it is not true.  there is a argentina soccer player, l. messi, who was a member of fc barcelona and wore the uniform number 10 while playing for fc barcelona in 2019.",no,Messi
2, Is it true that there is a soccer player from Argentina who played for FC Barcelona with uniform number 10 in FC Barcelona in 2019?,0,2,yes,"it is true. l. messi, a soccer player from argentina, was a member of fc barcelona and wore the uniform number 10 while playing for fc barcelona in 2019.",yes,Messi
3, Is there a soccer player from Portugal who played for Juventus with uniform number 7 in Juventus in 2019?,1,0,yes,"c. ronaldo, a portugal footballer, was a member of juventus and wore the uniform number 7 while playing for juventus in 2019.",yes,Ronaldo
4, Is it true that there are no soccer players from Portugal who played for Juventus with uniform number 7 in Juventus in 2019?,1,1,no,"it is not true.  there is a portugal soccer player, c. ronaldo, who was a member of juventus and wore the uniform number 7 while playing for juventus in 2019.",no,Ronaldo
5, Is it true that there is a soccer player from Portugal who played for Juventus with uniform number 7 in Juventus in 2019?,1,2,yes,"it is true. the portugal soccer player, who was a member of juventus at the time, wore the uniform number 7 while playing for juventus in 2019.",yes,Ronaldo
6, Is there a soccer player from Brazil who played for Paris Saint-Germain with uniform number 10 in Paris Saint-Germain in 2019?,2,0,yes,"neymar, a brazil footballer, was a member of paris saint-germain and wore the uniform number 10 while playing for paris saint-germain in 2019.",yes,Jr
7, Is it true that there are no soccer players from Brazil who played for Paris Saint-Germain with uniform number 10 in Paris Saint-Germain in 2019?,2,1,no,"it is not true.  there is a brazil soccer player, neymar jr., who was a member of paris saint-germain and wore the uniform number 10 while playing for paris saint-germain in 2019.",no,Jr
8, Is it true that there is a soccer player from Brazil who played for Paris Saint-Germain with uniform number 10 in Paris Saint-Germain in 2019?,2,2,yes,"it is true. the brazil soccer player, who was a member of paris saint-germain wearing the uniform number 10 while playing for paris saint-germain in 2019.",yes,Jr
9, Is there a soccer player from Belgium who played for Real Madrid CF with uniform number 7 in Real Madrid CF in 2019?,3,0,yes,"e. hazard, a belgium footballer, was a member of real madrid cf and wore the uniform number 7 while playing for real madrid cf in 2019.",yes,Hazard
10, Is it true that there are no soccer players from Belgium who played for Real Madrid CF with uniform number 7 in Real Madrid CF in 2019?,3,1,no,"it is not true.  there is a belgium soccer player, e. hazard, who was a member of real madrid cf and wore the uniform number 7 while playing for real madrid cf in 2019.",no,Hazard
11, Is it true that there is a soccer player from Belgium who played for Real Madrid CF with uniform number 7 in Real Madrid CF in 2019?,3,2,yes,"it is true. the soccer player from belgium, who was a member of real madrid cf, wore the uniform number 7 while playing for real madrid cf in 2019.",yes,Hazard
12, Is there a soccer player from Belgium who played for Manchester City with uniform number 17 in Manchester City in 2019?,4,0,yes,"k. de bruyne, a belgium footballer, was a member of manchester city and wore the uniform number 17 while playing for manchester city in 2019.",yes,De Bruyne
13, Is it true that there are no soccer players from Belgium who played for Manchester City with uniform number 17 in Manchester City in 2019?,4,1,no,"it is not true.  there is a belgium soccer player, k. de bruyne, who was a member of manchester city and wore the uniform number 17 while playing for manchester city in 2019.",no,De Bruyne
14, Is it true that there is a soccer player from Belgium who played for Manchester City with uniform number 17 in Manchester City in 2019?,4,2,yes,"it is true. k. de bruyne, a soccer player from belgium, was a member of manchester city and wore the uniform number 17 while playing for manchester city in 2019.",yes,De Bruyne
15, Is there a soccer player from Slovenia who played for Atlético de Madrid with uniform number 13 in Atlético de Madrid in 2019?,5,0,no,"jan oblak, a slovenia soccer player, was a member of atlético de madrid and wore the uniform number 13 while playing for atlético de madrid in 2019.",yes,Oblak
16, Is it true that there are no soccer players from Slovenia who played for Atlético de Madrid with uniform number 13 in Atlético de Madrid in 2019?,5,1,yes,"it is true. the soccer player, who was a member of atlético de madrid wearing the uniform number 13 while playing for atlético de madrid in 2019 was jan oblak. he is from slovenia, not slovenia.",no,Oblak
17, Is it true that there is a soccer player from Slovenia who played for Atlético de Madrid with uniform number 13 in Atlético de Madrid in 2019?,5,2,yes,"it is true. j. oblak, a slovenia footballer, was a member of atlético de madrid and wore the uniform number 13 while playing for atlético de madrid in 2019.",yes,Oblak
18, Is there a soccer player from Croatia who played for Real Madrid CF with uniform number 10 in Real Madrid CF in 2019?,6,0,yes,"l. modrić, a croatia footballer, was a member of real madrid cf and wore the uniform number 10 while playing for real madrid cf in 2019.",yes,Modrić
19, Is it true that there are no soccer players from Croatia who played for Real Madrid CF with uniform number 10 in Real Madrid CF in 2019?,6,1,no,"it is not true.  there is a croatia soccer player, l. modrić, who was a member of real madrid cf and wore the uniform number 10 while playing for real madrid cf in 2019.",no,Modrić
20, Is it true that there is a soccer player from Croatia who played for Real Madrid CF with uniform number 10 in Real Madrid CF in 2019?,6,2,yes,"it is true. the soccer player from croatia, who was a member of real madrid cf, wore the uniform number 10 while playing for real madrid cf in 2019.",yes,Modrić
21, Is there a soccer player from Germany who played for FC Barcelona with uniform number 1 in FC Barcelona in 2019?,7,0,yes,"there is m. ter stegen, a germany footballer, who was a member of fc barcelona and wore the uniform number 1 while playing for fc barcelona in 2019.",yes,Stegen
22, Is it true that there are no soccer players from Germany who played for FC Barcelona with uniform number 1 in FC Barcelona in 2019?,7,1,no,"it is not true.  there is a germany soccer player, m. ter stegen, who was a member of fc barcelona and wore the uniform number 1 while playing for fc barcelona in 2019.",no,Stegen
23, Is it true that there is a soccer player from Germany who played for FC Barcelona with uniform number 1 in FC Barcelona in 2019?,7,2,yes,it is true. there was a germany soccer player who was a member of fc barcelona and wore the uniform number 1 while playing for fc barcelona in 2019. he was m. ter stegen.,yes,Stegen
24, Is there a soccer player from Netherlands who played for Liverpool with uniform number 4 in Liverpool in 2019?,8,0,yes,"v. van dijk, a netherlands footballer, was a member of liverpool and wore the uniform number 4 while playing for liverpool in 2019.",yes,van Dijk
25, Is it true that there are no soccer players from Netherlands who played for Liverpool with uniform number 4 in Liverpool in 2019?,8,1,no,"it is not true.  there is a netherlands soccer player, v. van dijk, who was a member of liverpool and wore the uniform number 4 while playing for liverpool in 2019.",no,van Dijk
26, Is it true that there is a soccer player from Netherlands who played for Liverpool with uniform number 4 in Liverpool in 2019?,8,2,yes,"it is true. v. van dijk, a soccer player from netherlands, was a member of liverpool and wore the uniform number 4 while playing for liverpool in 2019.",yes,van Dijk
27, Is there a soccer player from Egypt who played for Liverpool with uniform number 11 in Liverpool in 2019?,9,0,yes,"m. salah, a egypt footballer, was a member of liverpool and wore the uniform number 11 while playing for liverpool in 2019.",yes,Salah
28, Is it true that there are no soccer players from Egypt who played for Liverpool with uniform number 11 in Liverpool in 2019?,9,1,yes,"it is true. the soccer player, who was a member of liverpool wearing the uniform number 11 while playing for liverpool in 2019 was mohamed salah. he is from egypt, not egypt.",no,Salah
29, Is it true that there is a soccer player from Egypt who played for Liverpool with uniform number 11 in Liverpool in 2019?,9,2,yes,"it is true. the soccer player from egypt, who was a member of liverpool, wore the uniform number 11 while playing for liverpool in 2019.",yes,Salah
30, Is there a soccer player from Italy who played for Juventus with uniform number 3 in Juventus in 2019?,10,0,yes,"g. chiellini, a italy footballer, was a member of juventus and wore the uniform number 3 while playing for juventus in 2019.",yes,Chiellini
