,entity_idx,question_idx,question,model_response
0,0,3,Is the movie Avatar released in year 2009 non-animation movie?,No.
1,61,1,Is the movie Jupiter Ascending released in year 2015 directed by Lana Wachowski?,No.
2,78,2,Is the movie The Jungle Book released in year 2016 produced in UK?,No.
3,82,4,Is the movie poster in the given image the movie poster of the movie Dawn of the Planet of the Apes released in year 2014?,No.
4,83,2,Is the movie The Lovers released in year 2015 produced in Belgium?,No.
5,99,4,Is the movie poster in the given image the movie poster of the movie The Fast and the Furious released in year 2001?,No.
6,128,4,Is the movie poster in the given image the movie poster of the movie Angels & Demons released in year 2009?,No.
7,131,4,Is the movie poster in the given image the movie poster of the movie G-Force released in year 2009?,No.
8,134,2,Is the movie Mission: Impossible - Rogue Nation released in year 2015 produced in China?,No.
9,148,4,Is the movie poster in the given image the movie poster of the movie Ghostbusters released in year 2016?,No.
10,167,2,Is the movie Sahara released in year 2005 produced in UK?,No.
11,175,3,Is the movie The BFG released in year 2016 non-animation movie?,No.
12,190,3,Is the movie The Adventures of Tintin released in year 2011 non-animation movie?,No.
13,195,1,Is the movie Harry Potter and the Deathly Hallows: Part II released in year 2011 directed by Matt Birch?,No.
14,201,1,Is the movie Harry Potter and the Deathly Hallows: Part I released in year 2010 directed by Matt Birch?,No.
15,203,4,Is the movie poster in the given image the movie poster of the movie The Da Vinci Code released in year 2006?,No.
16,212,4,Is the movie poster in the given image the movie poster of the movie Batman & Robin released in year 1997?,No.
17,220,4,Is the movie poster in the given image the movie poster of the movie Jason Bourne released in year 2016?,No.
18,226,4,Is the movie poster in the given image the movie poster of the movie RoboCop released in year 2014?,No.
19,240,4,Is the movie poster in the given image the movie poster of the movie Teenage Mutant Ninja Turtles released in year 2014?,No.
20,244,4,Is the movie poster in the given image the movie poster of the movie Fantastic Four released in year 2015?,No.
21,250,0,Do you know the movie Mr. & Mrs. Smith released in year 2005?,No.
22,250,1,Is the movie Mr. & Mrs. Smith released in year 2005 directed by Doug Liman?,No.
23,250,4,Is the movie poster in the given image the movie poster of the movie Mr. & Mrs. Smith released in year 2005?,No.
24,265,4,Is the movie poster in the given image the movie poster of the movie Around the World in 80 Days released in year 2004?,No.
25,270,2,Is the movie Stuart Little released in year 1999 produced in Germany?,No.
26,270,3,Is the movie Stuart Little released in year 1999 non-animation movie?,No.
27,274,4,Is the movie poster in the given image the movie poster of the movie Town & Country released in year 2001?,No.
28,285,4,Is the movie poster in the given image the movie poster of the movie The Taking of Pelham 1 2 3 released in year 2009?,No.
29,295,2,Is the movie Where the Wild Things Are released in year 2009 produced in Germany?,No.
30,299,2,Is the movie Blood Diamond released in year 2006 produced in Germany?,No.
31,306,1,Is the movie Hercules released in year 2014 directed by Brett Ratner?,No.
32,306,4,Is the movie poster in the given image the movie poster of the movie Hercules released in year 2014?,No.
33,310,4,Is the movie poster in the given image the movie poster of the movie Point Break released in year 2015?,No.
34,314,2,Is the movie Green Zone released in year 2010 produced in France?,No.
35,328,4,Is the movie poster in the given image the movie poster of the movie Cinderella released in year 2015?,No.
36,335,2,Is the movie Transcendence released in year 2014 produced in UK?,No.
37,343,2,Is the movie Percy Jackson & the Olympians: The Lightning Thief released in year 2010 produced in UK?,No.
38,354,4,Is the movie poster in the given image the movie poster of the movie Mulan released in year 1998?,No.
39,359,4,Is the movie poster in the given image the movie poster of the movie Ben-Hur released in year 2016?,No.
40,361,3,Is the movie Alvin and the Chipmunks: The Road Chip released in year 2015 animation movie?,No.
41,361,4,Is the movie poster in the given image the movie poster of the movie Alvin and the Chipmunks: The Road Chip released in year 2015?,No.
42,364,3,Is the movie Pixels released in year 2015 animation movie?,No.
43,374,2,Is the movie Spy Game released in year 2001 produced in Germany?,No.
44,386,4,Is the movie poster in the given image the movie poster of the movie Cast Away released in year 2000?,No.
45,392,4,Is the movie poster in the given image the movie poster of the movie Hotel Transylvania released in year 2012?,No.
46,393,3,Is the movie Enchanted released in year 2007 animation movie?,No.
47,420,0,Do you know the movie Cats & Dogs: The Revenge of Kitty Galore released in year 2010?,No. (RESPONSE ERROR)
48,420,1,Is the movie Cats & Dogs: The Revenge of Kitty Galore released in year 2010 directed by Brad Peyton?,No. (RESPONSE ERROR)
49,420,2,Is the movie Cats & Dogs: The Revenge of Kitty Galore released in year 2010 produced in USA?,No. (RESPONSE ERROR)
50,420,3,Is the movie Cats & Dogs: The Revenge of Kitty Galore released in year 2010 non-animation movie?,No. (RESPONSE ERROR)
51,420,4,Is the movie poster in the given image the movie poster of the movie Cats & Dogs: The Revenge of Kitty Galore released in year 2010?,No. (RESPONSE ERROR)
52,427,4,Is the movie poster in the given image the movie poster of the movie Mission: Impossible released in year 1996?,No.
53,428,4,Is the movie poster in the given image the movie poster of the movie The Hunger Games released in year 2012?,No.
54,442,2,Is the movie Four Christmases released in year 2008 produced in Germany?,No.
55,455,1,Is the movie The Pink Panther released in year 2006 directed by Shawn Levy?,No.
56,455,4,Is the movie poster in the given image the movie poster of the movie The Pink Panther released in year 2006?,No.
57,456,0,Do you know the movie The Day the Earth Stood Still released in year 2008?,No.
58,456,4,Is the movie poster in the given image the movie poster of the movie The Day the Earth Stood Still released in year 2008?,No.
59,457,4,Is the movie poster in the given image the movie poster of the movie Conspiracy Theory released in year 1997?,No.
60,464,4,Is the movie poster in the given image the movie poster of the movie The Manchurian Candidate released in year 2004?,No.
61,465,1,Is the movie Déjà Vu released in year 1997 directed by Henry Jaglom?,No.
62,465,2,Is the movie Déjà Vu released in year 1997 produced in USA?,No.
63,465,4,Is the movie poster in the given image the movie poster of the movie Déjà Vu released in year 1997?,No.
64,468,4,Is the movie poster in the given image the movie poster of the movie The Time Machine released in year 2002?,No.
65,476,0,Do you know the movie Evolution released in year 2015?,No.
66,476,1,Is the movie Evolution released in year 2015 directed by Lucile Hadzihalilovic?,No.
67,476,2,Is the movie Evolution released in year 2015 produced in France?,No.
68,476,3,Is the movie Evolution released in year 2015 non-animation movie?,No.
69,476,4,Is the movie poster in the given image the movie poster of the movie Evolution released in year 2015?,No.
70,482,4,Is the movie poster in the given image the movie poster of the movie Battlefield Earth released in year 2000?,No.
