,entity_idx,question_idx,question,model_response
0,7,2,Did the soccer player M. ter Stegen wear jersey number 1 in 2019?,No
1,7,3,Was the soccer player M. ter Stegen born in Germany?,No
2,10,2,Did the soccer player G. Chiellini wear jersey number 3 in 2019?,No
3,12,2,Did the soccer player Sergio Ramos wear jersey number 4 in 2019?,No
4,15,2,Did the soccer player Sergio Busquets wear jersey number 5 in 2019?,No
5,16,2,Did the soccer player De Gea wear jersey number 1 in 2019?,No
6,17,3,Was the soccer player A. Griezmann born in France?,No
7,20,2,Did the soccer player Alisson wear jersey number 1 in 2019?,No
8,21,2,Did the soccer player N. Kanté wear jersey number 7 in 2019?,No
9,23,2,Did the soccer player Piqué wear jersey number 3 in 2019?,No
10,24,2,Did the soccer player S. Handanovič wear jersey number 1 in 2019?,No
11,25,2,Did the soccer player M. Neuer wear jersey number 1 in 2019?,No
12,26,2,Did the soccer player H. Lloris wear jersey number 1 in 2019?,No
13,41,2,Did the soccer player Thiago Silva wear jersey number 2 in 2019?,No. Thiago Silva wore jersey number 3 in 2019.
14,43,2,Did the soccer player J. Vertonghen wear jersey number 5 in 2019?,No
15,48,3,Was the soccer player Thiago born in Spain?,No
16,49,2,Did the soccer player K. Navas wear jersey number 1 in 2019?,No
17,51,1,Did the soccer player H. Son play for Tottenham Hotspur in 2019?,No
18,51,4,Did the soccer player H. Son participate in leauge named English Premier League during the year 2019?,No
19,53,3,Was the soccer player A. Laporte born in France?,No
20,57,1,Did the soccer player Á. Di María play for Paris Saint-Germain in 2019?,No
21,57,4,Did the soccer player Á. Di María participate in leauge named French Ligue 1 during the year 2019?,No
22,59,1,Did the soccer player W. Szczęsny play for Juventus in 2019?,No
23,59,2,Did the soccer player W. Szczęsny wear jersey number 1 in 2019?,No
24,60,1,Did the soccer player Coutinho play for FC Bayern München in 2019?,No
25,60,2,Did the soccer player Coutinho wear jersey number 10 in 2019?,No
26,61,2,Did the soccer player Parejo wear jersey number 10 in 2019?,No
27,66,2,Did the soccer player M. Verratti wear jersey number 6 in 2019?,No
28,67,2,Did the soccer player Roberto Firmino wear jersey number 9 in 2019?,No
29,74,3,Was the soccer player A. Gómez born in Argentina?,No
30,80,2,Did the soccer player P. Gulácsi wear jersey number 1 in 2019?,No
31,81,1,Did the soccer player R. Bürki play for Borussia Dortmund in 2019?,No
32,81,2,Did the soccer player R. Bürki wear jersey number 1 in 2019?,No
33,81,4,Did the soccer player R. Bürki participate in leauge named German 1. Bundesliga during the year 2019?,No
34,88,3,Was the soccer player D. Alaba born in Austria?,No
35,90,2,Did the soccer player A. Lopes wear jersey number 1 in 2019?,No
36,93,2,Did the soccer player R. Varane wear jersey number 5 in 2019?,No
37,94,2,Did the soccer player Carvajal wear jersey number 2 in 2019?,No
38,98,1,Did the soccer player N. Süle play for FC Bayern München in 2019?,No
39,98,3,Was the soccer player N. Süle born in Germany?,No
40,101,3,Was the soccer player J. Giménez born in Uruguay?,No
41,105,2,Did the soccer player G. Donnarumma wear jersey number 99 in 2019?,No
42,109,1,Did the soccer player João Moutinho play for Wolverhampton Wanderers in 2019?,No
43,111,3,Was the soccer player S. Sirigu born in Italy?,No
44,112,1,Did the soccer player M. Hamšík play for Dalian Professional Football Club in 2019?,No
45,112,4,Did the soccer player M. Hamšík participate in leauge named Chinese Super League during the year 2019?,No
46,113,2,Did the soccer player Sokratis wear jersey number 5 in 2019?,No
47,114,2,Did the soccer player Lucas Leiva wear jersey number 6 in 2019?,No
48,115,1,Did the soccer player M. Özil play for Arsenal in 2019?,No
49,115,2,Did the soccer player M. Özil wear jersey number 10 in 2019?,No
50,116,4,Did the soccer player Javi Martínez participate in leauge named German 1. Bundesliga during the year 2019?,No
51,117,2,Did the soccer player Y. Sommer wear jersey number 1 in 2019?,No
52,122,1,Did the soccer player A. Vidal play for FC Barcelona in 2019?,No
