,question,entity_idx,question_idx,model_answer,model_reasoning,gold_answer,gold_entity
0, Is there an airport located at latitude -34.7833328247 and longitude -72.0508346558?,0,0,unsure,"The question asks about an airport located at a specific latitude and longitude. However, the provided coordinates do not correspond to any known airport. Therefore, it is not possible to answer the question with a simple yes or no.
",yes,Torca
1, Is it true that there are no airports located at latitude -34.7833328247 and longitude -72.0508346558?,0,1,yes,"The given coordinates are in the middle of the Atlantic Ocean, far from any landmass. There are no airports located in the middle of the ocean.
",no,Torca
2, Is it true that there is an airport located at latitude -34.7833328247 and longitude -72.0508346558?,0,2,unsure,"The given coordinates do not correspond to any known airport. However, there may be small, private airports or airstrips that are not listed in public databases. Without more information, it is impossible to say for sure whether there is an airport at the given coordinates.
",yes,Torca
3, Is there an airport located at latitude 10.5169439316 and longitude -85.5655593872?,1,0,unsure,"The provided coordinates do not correspond to any known airport. However, there may be small, private airports or airstrips that are not listed in public databases. Without more information, it is impossible to say for certain whether there is an airport at the specified coordinates.
",yes,Catsa
4, Is it true that there are no airports located at latitude 10.5169439316 and longitude -85.5655593872?,1,1,unsure,"The question asks about the existence of airports at a specific latitude and longitude. However, the provided coordinates do not correspond to any real-world location. Therefore, it is impossible to determine whether there are airports at that location or not.
",no,Catsa
5, Is it true that there is an airport located at latitude 10.5169439316 and longitude -85.5655593872?,1,2,unsure,"The provided coordinates do not correspond to any known airport. However, there may be small, private airports or airstrips that are not listed in public databases. Without more information, it is impossible to say for sure whether there is an airport at the given coordinates.
",yes,Catsa
6, Is there an airport located at latitude -10.8478441238 and longitude -76.2469558716?,2,0,unsure,"The question asks about the existence of an airport at a specific latitude and longitude. However, the provided coordinates are not valid. The latitude value is negative, which is not possible for a location on Earth. The longitude value is also outside the valid range of -180 to 180 degrees. Therefore, it is not possible to determine whether there is an airport at the specified location.
",yes,Vicco
7, Is it true that there are no airports located at latitude -10.8478441238 and longitude -76.2469558716?,2,1,unsure,"The question asks about the existence of airports at a specific latitude and longitude. However, the provided coordinates do not correspond to any real-world location. Therefore, it is impossible to determine whether there are airports at that location or not.
",no,Vicco
8, Is it true that there is an airport located at latitude -10.8478441238 and longitude -76.2469558716?,2,2,unsure,"The given coordinates do not correspond to any known airport. However, it is possible that there is a small, private airport or airstrip at that location that is not listed in public databases. Without more information, it is impossible to say for sure whether or not there is an airport at that location.
",yes,Vicco
9, Is there an airport located at latitude -13.7894001007 and longitude 33.78099823?,3,0,unsure,"The question asks about an airport located at a specific latitude and longitude. However, there is no information provided about the existence of an airport at those coordinates. Therefore, it is not possible to answer the question with the information provided.
",yes,Lilongwe International
10, Is it true that there are no airports located at latitude -13.7894001007 and longitude 33.78099823?,3,1,yes,"The given coordinates are in the middle of Lake Malawi, which is a large lake in East Africa. There are no airports located in the middle of lakes.
",no,Lilongwe International
11, Is it true that there is an airport located at latitude -13.7894001007 and longitude 33.78099823?,3,2,unsure,"The given coordinates do not correspond to any known airport. However, there may be small, private airports or airstrips that are not listed in public databases. Without more information, it is impossible to say for sure whether there is an airport at the given coordinates.
",yes,Lilongwe International
12, Is there an airport located at latitude 47.4942016602 and longitude 14.4975004196?,4,0,unsure,"The question asks about the existence of an airport at a specific latitude and longitude. However, the provided coordinates do not correspond to any known airport. Therefore, it is not possible to answer the question with a simple yes or no.
",yes,Trieben
13, Is it true that there are no airports located at latitude 47.4942016602 and longitude 14.4975004196?,4,1,unsure,"The question asks about the existence of airports at a specific latitude and longitude. However, the provided coordinates do not correspond to any known location on Earth. Therefore, it is impossible to determine whether there are airports at that location or not.
",no,Trieben
14, Is it true that there is an airport located at latitude 47.4942016602 and longitude 14.4975004196?,4,2,unsure,"The provided coordinates do not correspond to any known airport. However, there may be small, private airports or airstrips that are not listed in public databases. Without more information, it is impossible to say for sure whether there is an airport at the given coordinates.
",yes,Trieben
15, Is there an airport located at latitude -17.8083324432 and longitude -67.4433364868?,5,0,unsure,"The question asks about an airport located at a specific latitude and longitude. However, there is no information provided about the existence of an airport at those coordinates. Therefore, it is not possible to answer the question with the information provided.
",yes,Intiraymi
16, Is it true that there are no airports located at latitude -17.8083324432 and longitude -67.4433364868?,5,1,yes,"The given coordinates are in the middle of the ocean, far from any landmass. There are no airports located in the middle of the ocean.
",no,Intiraymi
17, Is it true that there is an airport located at latitude -17.8083324432 and longitude -67.4433364868?,5,2,unsure,"The given coordinates do not correspond to any known airport. However, there may be small, private airports or airstrips that are not listed in public databases. Without more information, it is impossible to say for sure whether there is an airport at the given coordinates.
",yes,Intiraymi
18, Is there an airport located at latitude 43.3708833333333 and longitude -78.4144166666667?,6,0,unsure,"The provided coordinates do not correspond to any known airport. However, there may be small, private airports or airstrips that are not listed in public databases. Without more information, it is impossible to say for certain whether there is an airport at the specified coordinates.
",yes,Tiger Paw Aerodrome
19, Is it true that there are no airports located at latitude 43.3708833333333 and longitude -78.4144166666667?,6,1,unsure,"The question asks about the existence of airports at a specific latitude and longitude. However, the provided coordinates do not correspond to any real-world location. Therefore, it is impossible to determine whether there are airports at that location or not.
",no,Tiger Paw Aerodrome
20, Is it true that there is an airport located at latitude 43.3708833333333 and longitude -78.4144166666667?,6,2,unsure,"The provided coordinates do not correspond to any known airport.
",yes,Tiger Paw Aerodrome
21, Is there an airport located at latitude 53.4212989807 and longitude -6.270070076?,7,0,unsure,"The question asks about the existence of an airport at a specific latitude and longitude. However, the provided coordinates do not correspond to any known airport. Therefore, it is not possible to answer the question with a simple yes or no.
",yes,Dublin
22, Is it true that there are no airports located at latitude 53.4212989807 and longitude -6.270070076?,7,1,unsure,"The question asks about the existence of airports at a specific latitude and longitude. However, the provided coordinates do not correspond to any real-world location. Therefore, it is impossible to determine whether there are airports at that location or not.
",no,Dublin
23, Is it true that there is an airport located at latitude 53.4212989807 and longitude -6.270070076?,7,2,unsure,"The question asks about the existence of an airport at a specific latitude and longitude. However, the provided coordinates do not correspond to any known airport. Therefore, it is not possible to answer the question with a simple yes or no.
",yes,Dublin
