,entity_idx,question_idx,question,choices,gold_answer,gold_entity,model_answer,model_response_all,model_reasoning
21,7,0,What's the inaccurate option about the airport Dublin?,"['Option 1: ICAO Shortcode of the airport is EIDW.', 'Option 2: Latitude of the airport is 53.4213.', 'Option 3: Longitude of the airport is -151.1954.', 'Option 4: Country code of the airport is IE.']",3,-6.2701,3,Option 3: Longitude of the airport is -151.1954. Explanation: The longitude of Dublin Airport is not -151.1954. The correct longitude is approximately -6.27007. The given longitude in Option 3 is incorrect.,True
22,7,1,What is the false option about the airport Dublin?,"['Option 1: The abbreviated form (ICAO) for the airport is EIDW.', 'Option 2: The latitude of the airport is 53.4213.', 'Option 3: The longitude of the airport is -151.1954.', 'Option 4: The country code of the airport is IE.']",3,-6.2701,3,Option 3: The longitude of the airport is -151.1954. Explanation: The longitude of Dublin Airport is not -151.1954. The correct longitude is approximately -6.27007. The longitude given in the option is incorrect and does not correspond to the location of Dublin Airport in Ireland.,True
23,7,2,What is the wrong option regarding the airport Dublin?,"['Option 1: The ICAO shortcode for the airport is the same with EIDW.', 'Option 2: The airport is located at 53.4213 latitude.', 'Option 3: The airport is located at -151.1954 longitude.', 'Option 4: The airport has a country code of IE.']",3,-6.2701,3,Option 3: The airport is located at -151.1954 longitude. Explanation: The longitude of Dublin Airport is not -151.1954. The correct longitude is approximately -6.27007. The given longitude in Option 3 is incorrect.,True
24,8,0,What's the inaccurate option about the airport Chu Lai International?,"['Option 1: ICAO Shortcode of the airport is HL59.', 'Option 2: Latitude of the airport is 15.4033.', 'Option 3: Longitude of the airport is 108.706.', 'Option 4: Country code of the airport is VN.']",1,VVCA,1,"Option 1: ICAO Shortcode of the airport is HL59. Explanation: The ICAO code for Chu Lai International Airport is VVCL, not HL59. ICAO codes are four-letter alphanumeric code designators for airports around the world based on the geographical location. The first and/or second letter(s) represent the country, the rest are for the specific airport. HL59 does not correspond to Chu Lai International Airport.",False
25,8,1,What is the false option about the airport Chu Lai International?,"['Option 1: The abbreviated form (ICAO) for the airport is HL59.', 'Option 2: The latitude of the airport is 15.4033.', 'Option 3: The longitude of the airport is 108.706.', 'Option 4: The country code of the airport is VN.']",1,VVCA,1,"Option 1: The abbreviated form (ICAO) for the airport is HL59. Explanation: The ICAO code for Chu Lai International Airport is VVCL, not HL59. The ICAO (International Civil Aviation Organization) code is a four-letter alphanumeric code designating each airport around the world. These codes are defined by the International Civil Aviation Organization, and published in ICAO Document 7910: Location Indicators. The ICAO codes are used by air traffic control and airline operations such as flight planning.",False
26,8,2,What is the wrong option regarding the airport Chu Lai International?,"['Option 1: The ICAO shortcode for the airport is the same with HL59.', 'Option 2: The airport is located at 15.4033 latitude.', 'Option 3: The airport is located at 108.706 longitude.', 'Option 4: The airport has a country code of VN.']",1,VVCA,1,"Option 1: The ICAO shortcode for the airport is the same with HL59. Explanation: The ICAO shortcode for Chu Lai International Airport is VVCL, not HL59. HL59 is the ICAO code for a heliport in South Korea. Therefore, option 1 is incorrect.",False
51,17,0,What's the inaccurate option about the airport Lovell Field?,"['Option 1: ICAO Shortcode of the airport is UEBN.', 'Option 2: Latitude of the airport is 35.0352.', 'Option 3: Longitude of the airport is -85.2036.', 'Option 4: Country code of the airport is US.']",1,KCHA,1,"Option 1: ICAO Shortcode of the airport is UEBN. Explanation: The ICAO code for Lovell Field, also known as Chattanooga Metropolitan Airport, is KCHA, not UEBN. The ICAO code is a four-letter alphanumeric code designating each airport around the world. These codes are defined by the International Civil Aviation Organization, and published in ICAO Document 7910: Location Indicators.",True
52,17,1,What is the false option about the airport Lovell Field?,"['Option 1: The abbreviated form (ICAO) for the airport is UEBN.', 'Option 2: The latitude of the airport is 35.0352.', 'Option 3: The longitude of the airport is -85.2036.', 'Option 4: The country code of the airport is US.']",1,KCHA,1,"Option 1: The abbreviated form (ICAO) for the airport is UEBN. Explanation: The correct ICAO code for Lovell Field, also known as Chattanooga Metropolitan Airport, is KCHA. UEBN is not the correct abbreviation for this airport.",True
53,17,2,What is the wrong option regarding the airport Lovell Field?,"['Option 1: The ICAO shortcode for the airport is the same with UEBN.', 'Option 2: The airport is located at 35.0352 latitude.', 'Option 3: The airport is located at -85.2036 longitude.', 'Option 4: The airport has a country code of US.']",1,KCHA,1,"Option 1: The ICAO shortcode for the airport is the same with UEBN. Explanation: The ICAO shortcode for Lovell Field, also known as Chattanooga Metropolitan Airport, is KCHA, not UEBN. Therefore, option 1 is incorrect.",True
111,37,0,What's the inaccurate option about the airport Creech Afb?,"['Option 1: ICAO Shortcode of the airport is KINS.', 'Option 2: Latitude of the airport is 36.5863.', 'Option 3: Longitude of the airport is -115.6774.', 'Option 4: Country code of the airport is US.']",NONE OF ABOVE,NONE,NONE OF ABOVE,"None of above Explanation: All the options provided are accurate about the Creech Air Force Base. The ICAO shortcode for Creech AFB is indeed KINS. The geographical coordinates are approximately 36.5863° N latitude and -115.6774° W longitude. And the country code for the United States, where the airport is located, is US.",
112,37,1,What is the false option about the airport Creech Afb?,"['Option 1: The abbreviated form (ICAO) for the airport is KINS.', 'Option 2: The latitude of the airport is 36.5863.', 'Option 3: The longitude of the airport is -115.6774.', 'Option 4: The country code of the airport is US.']",NONE OF ABOVE,NONE,NONE OF ABOVE,"None of above Explanation: All the options provided are correct. The ICAO code for Creech Air Force Base is indeed KINS. The geographical coordinates are approximately 36.5863° N latitude and -115.6774° W longitude. And the country code for the United States, where the airport is located, is US.",
113,37,2,What is the wrong option regarding the airport Creech Afb?,"['Option 1: The ICAO shortcode for the airport is the same with KINS.', 'Option 2: The airport is located at 36.5863 latitude.', 'Option 3: The airport is located at -115.6774 longitude.', 'Option 4: The airport has a country code of US.']",NONE OF ABOVE,NONE,NONE OF ABOVE,None of above Explanation: All the options are correct. The ICAO shortcode for Creech Afb is indeed KINS. The airport is located at 36.5863 latitude and -115.6774 longitude. The country code for the airport is US as it is located in the United States.,
153,51,0,What's the inaccurate option about the airport Bandaranaike International Apt Colombo?,"['Option 1: ICAO Shortcode of the airport is FAHJ.', 'Option 2: Latitude of the airport is 7.1808.', 'Option 3: Longitude of the airport is 79.8841.', 'Option 4: Country code of the airport is LK.']",1,VCBI,1,"Option 1: ICAO Shortcode of the airport is FAHJ. Explanation: The ICAO code for Bandaranaike International Airport in Colombo, Sri Lanka is VCBI, not FAHJ. The ICAO code is a four-letter alphanumeric code designating each airport around the world. These codes are defined by the International Civil Aviation Organization, and published in ICAO Document 7910: Location Indicators.",True
154,51,1,What is the false option about the airport Bandaranaike International Apt Colombo?,"['Option 1: The abbreviated form (ICAO) for the airport is FAHJ.', 'Option 2: The latitude of the airport is 7.1808.', 'Option 3: The longitude of the airport is 79.8841.', 'Option 4: The country code of the airport is LK.']",1,VCBI,1,"Option 1: The abbreviated form (ICAO) for the airport is FAHJ. Explanation: The correct ICAO code for Bandaranaike International Airport in Colombo is VCBI, not FAHJ. ICAO codes are four-letter airport codes issued by the International Civil Aviation Organization (ICAO) to identify aerodromes around the world.",True
155,51,2,What is the wrong option regarding the airport Bandaranaike International Apt Colombo?,"['Option 1: The ICAO shortcode for the airport is the same with FAHJ.', 'Option 2: The airport is located at 7.1808 latitude.', 'Option 3: The airport is located at 79.8841 longitude.', 'Option 4: The airport has a country code of LK.']",1,VCBI,1,"Option 1: The ICAO shortcode for the airport is the same with FAHJ. Explanation: The ICAO code for Bandaranaike International Airport is VCBI, not FAHJ. The ICAO code is a four-letter alphanumeric code designating each airport around the world. These codes are defined by the International Civil Aviation Organization, and published in ICAO Document 7910: Location Indicators.",True
