,question,entity_idx,question_idx,model_answer,model_reasoning,gold_answer,gold_entity,reasoning_erbench,reasoning_manual
0, Is there an airport located at latitude -34.7833328247 and longitude -72.0508346558?,0,0,yes,"there is an airport located at latitude -34.7833328247 and longitude -72.0508346558. the airport is called 'ministro pistorri international airport' and it is located in santiago, chile.",yes,torca,0,0
1, Is it true that there are no airports located at latitude -34.7833328247 and longitude -72.0508346558?,0,1,no,"that is not true. there are airports located at latitude -34.7833328247 and longitude -72.0508346558. one such airport is the aeropuerto internacional de buenos aires-ministro pistarini (eze) located in buenos aires, argentina.",no,torca,0,0
2, Is there an airport located at latitude 10.5169439316 and longitude -85.5655593872?,1,0,yes,"there is an airport located at latitude 10.5169439316 and longitude -85.5655593872. this airport is called 'cancun international airport' and it is located in cancun, mexico.",yes,catsa,0,0
3, Is it true that there are no airports located at latitude 10.5169439316 and longitude -85.5655593872?,1,1,no,"that is not true. there are airports located at latitude 10.5169439316 and longitude -85.5655593872. one such airport is the cancún international airport (cun) located in cancún, mexico.",no,catsa,0,0
4, Is there an airport located at latitude -10.8478441238 and longitude -76.2469558716?,2,0,no,there is no airport located at latitude -10.8478441238 and longitude -76.2469558716. this is because the coordinates are not within the range of any known airport's location. the coordinates are also not in any country's territory. it is possible that these coordinates are not accurate or are not representing an airport.,yes,vicco,0,0
5, Is it true that there are no airports located at latitude -10.8478441238 and longitude -76.2469558716?,2,1,no,that is not true. there are airports located at latitude -10.8478441238 and longitude -76.2469558716. one such airport is the juan santamaria international airport in costa rica.,no,vicco,0,0
6, Is there an airport located at latitude -13.7894001007 and longitude 33.78099823?,3,0,no,there is no airport located at latitude -13.7894001007 and longitude 33.78099823. this is because the coordinates are not within the range of any known airport. it is possible that these coordinates are incorrect or that they represent a location that is not an airport.,yes,lilongwe international,0,0
7, Is it true that there are no airports located at latitude -13.7894001007 and longitude 33.78099823?,3,1,no,"that is not true. there are airports located at latitude -13.7894001007 and longitude 33.78099823. one such airport is the king fahd international airport in dammam, saudi arabia.",no,lilongwe international,0,0
8, Is there an airport located at latitude 47.4942016602 and longitude 14.4975004196?,4,0,yes,"there is an airport located at latitude 47.4942016602 and longitude 14.4975004196. this airport is called 'kiev international airport' (iata: kbp, icao: uklp). it is located in kiev, ukraine.",yes,trieben,0,0
9, Is it true that there are no airports located at latitude 47.4942016602 and longitude 14.4975004196?,4,1,no,"that is not true. there are airports located at latitude 47.4942016602 and longitude 14.4975004196. one such airport is the belgrade nikola tesla airport (beg) located in belgrade, serbia.",no,trieben,0,0
10, Is there an airport located at latitude -17.8083324432 and longitude -67.4433364868?,5,0,no,there is no airport located at latitude -17.8083324432 and longitude -67.4433364868. this is because the coordinates are not within the range of any known airport's location. it is possible that these coordinates are not accurate or that they represent a location that is not an airport.,yes,intiraymi,0,0
11, Is it true that there are no airports located at latitude -17.8083324432 and longitude -67.4433364868?,5,1,no,that is not true. there are airports located at latitude -17.8083324432 and longitude -67.4433364868. one such airport is the cayo largo airport (cyl) located in cuba.,no,intiraymi,0,0
12, Is there an airport located at latitude 43.3708833333333 and longitude -78.4144166666667?,6,0,yes,"there is an airport located at latitude 43.3708833333333 and longitude -78.4144166666667. this airport is ronald reagan washington national airport (dca) located in arlington, virginia, united states.",yes,tiger paw aerodrome,0,0
13, Is it true that there are no airports located at latitude 43.3708833333333 and longitude -78.4144166666667?,6,1,no,"that is not true. the coordinates 43.3708833333333, -78.4144166666667 correspond to ronald reagan washington national airport (dca) in washington, d.c. therefore, there is an airport located at those coordinates.",no,tiger paw aerodrome,0,0
