,question,entity_idx,question_idx,model_answer,model_reasoning,gold_answer,gold_entity,reasoning_erbench,reasoning_manual
0, Is there a soccer player from Brazil who played for Paris Saint-Germain with uniform number 5 in Paris Saint-Germain in 2019?,69,0,yes,there is a soccer player from brazil who played for paris saint-germain with uniform number 5 in 2019. his name is marquinhos.,yes,marquinhos,1,1
1, Is it true that there are no soccer players from Brazil who played for Paris Saint-Germain with uniform number 5 in Paris Saint-Germain in 2019?,69,1,yes,it is true. there were no soccer players from brazil who played for paris saint-germain with uniform number 5 in paris saint-germain in 2019.,no,marquinhos,0,0
2, Is there a soccer player from Sweden who played for LA Galaxy with uniform number 9 in LA Galaxy in 2019?,73,0,yes,his name is zlatan ibrahimovic.,yes,ibrahimović,1,1
3, Is it true that there are no soccer players from Sweden who played for LA Galaxy with uniform number 9 in LA Galaxy in 2019?,73,1,yes,it is true. there were no soccer players from sweden who played for la galaxy with uniform number 9 in la galaxy in 2019. i know this because i have checked the roster of la galaxy for the 2019 season and there was no swedish player listed with the number 9 jersey.,no,ibrahimović,0,0
4, Is there a soccer player from Netherlands who played for Liverpool with uniform number 5 in Liverpool in 2019?,119,0,no,"there was no soccer player from netherlands who played for liverpool with uniform number 5 in liverpool in 2019. the player who wore the number 5 jersey for liverpool in 2019 was georginio wijnaldum, but he is from the netherlands antilles, not the netherlands.",yes,wijnaldum,1,1
5, Is it true that there are no soccer players from Netherlands who played for Liverpool with uniform number 5 in Liverpool in 2019?,119,1,yes,it is true. there were no soccer players from netherlands who played for liverpool with uniform number 5 in liverpool in 2019.,no,wijnaldum,0,0
6, Is there a soccer player from Germany who played for Arsenal with uniform number 1 in Arsenal in 2019?,131,0,no,"there is no soccer player from germany who played for arsenal with uniform number 1 in arsenal in 2019. the goalkeeper for arsenal in 2019 was bernd leno, who is from germany, but he wore the uniform number 19. the number 1 jersey was worn by petr cech, who is from the czech republic.",yes,leno,1,0
7, Is it true that there are no soccer players from Germany who played for Arsenal with uniform number 1 in Arsenal in 2019?,131,1,yes,it is true. there were no soccer players from germany who played for arsenal with uniform number 1 in arsenal in 2019.,no,leno,0,0
8, Is there a soccer player from Finland who played for Bayer 04 Leverkusen with uniform number 1 in Bayer 04 Leverkusen in 2019?,183,0,no,there is no record of a soccer player from finland who played for bayer 04 leverkusen with uniform number 1 in 2019.,yes,hrádecký,0,0
9, Is it true that there are no soccer players from Finland who played for Bayer 04 Leverkusen with uniform number 1 in Bayer 04 Leverkusen in 2019?,183,1,yes,it is true. there were no soccer players from finland who played for bayer 04 leverkusen with uniform number 1 in bayer 04 leverkusen in 2019. i know this because i have researched the team's roster for the 2019 season and there were no finnish players listed with the number 1 jersey.,no,hrádecký,0,0
10, Is there a soccer player from Portugal who played for FC Porto with uniform number 22 in FC Porto in 2019?,199,0,yes,there is a soccer player from portugal who played for fc porto with uniform number 22 in fc porto in 2019. his name is danilo pereira.,yes,pereira,1,1
11, Is it true that there are no soccer players from Portugal who played for FC Porto with uniform number 22 in FC Porto in 2019?,199,1,yes,it is true. there were no soccer players from portugal who played for fc porto with uniform number 22 in fc porto in 2019. i know this because i researched the team's roster for the 2019 season and found no portuguese players wearing the number 22 jersey.,no,pereira,0,0
