,entity_idx,prompt_idx,question,rationale,model_gold_entity,gold_entity
0,0,0, Is there an airport located at latitude -34.7833328247 and longitude -72.0508346558?,Unsure. I do not have access to real-time information and my knowledge is limited to data available up until April 2023. I recommend checking a more up-to-date source for the most accurate information.,torca,torca
1,0,1, Is it true that there are no airports located at latitude -34.7833328247 and longitude -72.0508346558?,"Yes, it is true. There are no airports located at latitude -34.7833328247 and longitude -72.0508346558. This location corresponds to Estadio Sausalito, located in Viña del Mar, Valparaíso, Chile.",torca,torca
2,1,0, Is there an airport located at latitude 10.5169439316 and longitude -85.5655593872?,"Unsure. I do not have access to real-time information and my knowledge is limited to data available up until April 2023. I recommend checking a more up-to-date source, such as an online search engine or a reputable aviation website.",catsa,catsa
3,1,1, Is it true that there are no airports located at latitude 10.5169439316 and longitude -85.5655593872?,Unsure. I do not have access to real-time information and my knowledge is limited to data available up until April 2023. I recommend checking a more up-to-date source for the most accurate information.,catsa,catsa
4,2,0, Is there an airport located at latitude -10.8478441238 and longitude -76.2469558716?,"Unsure. I do not have access to real-time information and my knowledge is limited to data available up until April 2023. I recommend checking a more up-to-date source, such as an online search engine or a reputable aviation website.",vicco,vicco
5,2,1, Is it true that there are no airports located at latitude -10.8478441238 and longitude -76.2469558716?,Unsure. I do not have access to real-time information and my knowledge is limited to data available up until April 2023. I recommend checking a more up-to-date source for the most accurate information.,vicco,vicco
6,3,0, Is there an airport located at latitude -13.7894001007 and longitude 33.78099823?,Unsure. I do not have access to real-time information and my knowledge is limited to data available up until April 2023. I recommend checking a more up-to-date source for the most accurate information.,lilongwe international,lilongwe international
7,3,1, Is it true that there are no airports located at latitude -13.7894001007 and longitude 33.78099823?,Unsure. I do not have access to real-time information and my knowledge is limited to data available up until April 2023. I recommend checking a more up-to-date source for the most accurate information.,lilongwe international,lilongwe international
8,4,0, Is there an airport located at latitude 47.4942016602 and longitude 14.4975004196?,Unsure. I do not have access to real-time information and my knowledge is limited to data available up until April 2023. I recommend checking a more up-to-date source for the most accurate information.,trieben,trieben
9,4,1, Is it true that there are no airports located at latitude 47.4942016602 and longitude 14.4975004196?,Unsure. I do not have access to real-time information and my knowledge is limited to data available up until April 2023. I recommend checking a more up-to-date source for the most accurate information.,trieben,trieben
10,5,0, Is there an airport located at latitude -17.8083324432 and longitude -67.4433364868?,Unsure. I do not have access to real-time information and my knowledge is limited to data available up until April 2023. I recommend checking a more up-to-date source for the most accurate information.,intiraymi,intiraymi
11,5,1, Is it true that there are no airports located at latitude -17.8083324432 and longitude -67.4433364868?,Unsure. I do not have access to real-time information and my knowledge is limited to data available up until April 2023. I recommend checking a more up-to-date source for the most accurate information.,intiraymi,intiraymi
12,6,0, Is there an airport located at latitude 43.3708833333333 and longitude -78.4144166666667?,"Yes, there is an airport located at latitude 43.3708833333333 and longitude -78.4144166666667. The airport is called Buffalo Niagara International Airport and is located in Cheektowaga, New York, United States of America.",tiger paw aerodrome,tiger paw aerodrome
